title,release_date,sentiment
Sam &amp; Max 102: Situation: Comedy,2006-12-20,Positive
Ultimate Doom,1995-04-30,Very Positive
Master Levels for Doom II,1995-06-01,Very Positive
DOOM II,1994-05-05,Very Positive
Wolfenstein 3D,1994-08-03,Very Positive
Return to Castle Wolfenstein,2001-11-20,Very Positive
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,Very Positive
Spear of Destiny,1993-10-10,Very Positive
BloodRayne,2003-09-09,Mostly Positive
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,Very Positive
QUAKE,2007-05-31,Overwhelmingly Positive
Genesis Rising,2007-03-20,Mostly Negative
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,Very Positive
BioShock™,2007-08-21,Very Positive
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,Overwhelmingly Positive
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,Overwhelmingly Positive
Rome: Total War™ - Collection,2004-09-22,Very Positive
Rome: Total War™ - Alexander,2006-06-26,Mostly Positive
Mystery Case Files: Madame Fate®,2007-12-14,Mostly Positive
Grand Theft Auto,1998-06-30,Very Positive
Grand Theft Auto 2,1999-10-25,Very Positive
Manhunt,2004-04-20,Mixed
Midnight Club 2,2003-07-01,Very Positive
Max Payne 2: The Fall of Max Payne,2003-10-14,Very Positive
Tomb Raider: Legend,2006-04-07,Very Positive
Max Payne,2001-07-25,Very Positive
Command &amp; Conquer: Red Alert 3,2008-10-28,Very Positive
PuzzleQuest: Challenge of the Warlords,2007-10-10,Very Positive
Culpa Innata,2007-10-23,Very Positive
Prison Tycoon 3™: Lockdown,2007-08-01,Very Negative
Hunting Unlimited™ 2008,2007-09-01,Mostly Positive
18 Wheels of Steel: American Long Haul,2007-12-03,Mostly Positive
Conflict: Denied Ops,2008-02-08,Mixed
ARMA: Combat Operations,2007-05-08,Mixed
Tycoon City: New York,2006-02-21,Mostly Negative
Desperados 2: Cooper's Revenge,2006-05-02,Mixed
Death to Spies,2007-10-16,Mostly Positive
Act of War: High Treason,2006-05-30,Very Positive
RollerCoaster Tycoon® 3: Platinum,2006-10-26,Very Positive
Act of War: Direct Action,2005-03-14,Very Positive
Unreal 2: The Awakening,2003-02-03,Mostly Positive
Unreal Gold,1998-04-30,Overwhelmingly Positive
Ninja Reflex: Steamworks Edition,2008-03-21,Positive
Tom Clancy's Splinter Cell®,2003-02-18,Very Positive
Far Cry®,2004-03-23,Very Positive
Unreal Tournament: Game of the Year Edition,2000-10-25,Overwhelmingly Positive
Tom Clancy's Rainbow Six® Vegas,2006-12-12,Mostly Positive
Silent Hunter® III,2005-03-15,Very Positive
Virtual Villagers - The Secret City,2008-05-28,Positive
Mystery P.I.™ - The Vegas Heist,2008-06-04,9 user reviews
Luxor,2008-06-10,Mixed
Reaxxion,2008-06-10,Mostly Positive
Little Farm,2008-06-10,Mostly Positive
7 Wonders II,2008-06-10,Positive
Luxor Amun Rising,2005-12-08,8 user reviews
Luxor 3,2007-11-13,Positive
Petz® Horsez® 2,2007-11-13,Mixed
Luxor 2,2005-12-08,Mixed
Rayman Raving Rabbids™,2007-03-27,Mostly Positive
Silent Hunter®: Wolves of the Pacific,2007-03-20,Mixed
IL-2 Sturmovik: 1946,2006-12-15,Very Positive
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,Very Positive
Bone: Out From Boneville,2005-09-15,Mixed
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,Negative
Bone: The Great Cow Race,2006-04-12,Mixed
Sprint Cars Road to Knoxville,2008-07-29,Mixed
Dr. Daisy Pet Vet,2008-01-08,3 user reviews
Ride! Carnival Tycoon,2007-07-02,Mixed
Hot Dish,2008-01-12,4 user reviews
Mahjongg Investigations: Under Suspicion,2007-08-08,7 user reviews
Dracula Origin,2008-05-20,Mixed
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,nan
Sherlock Holmes - Nemesis,2008-04-14,Mostly Positive
Eternity's Child,2008-07-31,Negative
Pacific Storm Allies,2007-05-25,Mixed
Tank Universal,2008-08-21,Mixed
FlatOut: Ultimate Carnage,2008-08-19,Very Positive
Oddworld: Abe's Exoddus®,1998-11-17,Very Positive
Oddworld: Abe's Oddysee®,1997-12-12,Very Positive
GTR Evolution Expansion Pack for RACE 07,2008-09-01,Positive
X-COM: Enforcer,2001-04-19,Mixed
X-COM: Apocalypse,1997-07-15,Very Positive
X-COM: UFO Defense,1993-12-31,Overwhelmingly Positive
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,Very Positive
Crysis Warhead®,2008-09-17,Very Positive
Crysis,2007-11-13,Very Positive
X-COM: Interceptor,1998-06-15,Mixed
The Witcher: Enhanced Edition Director's Cut,2008-09-16,Very Positive
Multiwinia,2008-09-19,Very Positive
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,Positive
Children of the Nile: Alexandria,2008-08-28,Positive
Sid Meier's Civilization IV: Colonization,2008-09-23,Mostly Positive
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,Very Positive
LEGO Batman,2008-09-29,Very Positive
City Life 2008,2008-07-18,Mixed
Hinterland,2008-09-30,Mostly Positive
Brothers in Arms: Hell's Highway™,2008-10-08,Very Positive
Gravitron 2,2008-08-31,Mixed
Xpand Rally Xtreme,2006-12-01,Mixed
Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,Mostly Positive
Brothers in Arms: Earned in Blood™,2005-10-04,Very Positive
Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,Very Positive
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,Mostly Positive
Brain Spa,2007-09-25,4 user reviews
The Sum of All Fears,2002-05-31,Positive
Peggle™ Nights,2008-10-15,Very Positive
World of Goo,2008-10-13,Very Positive
X3: Terran Conflict,2008-10-16,Very Positive
Mare Nostrum,2008-10-17,Very Positive
Spectraball,2008-10-20,Mostly Positive
Galactic Bowling,2008-10-21,Mixed
Bully: Scholarship Edition,2008-10-21,Very Positive
Far Cry® 2: Fortune's Edition,2008-10-22,Mostly Positive
Space Trader: Merchant Marine,2008-10-23,Mixed
PRR Wagon Pack 01,2009-01-01,2 user reviews
"Class 421 London South East ""Jaffa Cake""",2009-01-01,3 user reviews
ATSF Wagon Pack 01,2009-01-01,nan
GP20 Union Pacific Add-on Livery,2009-01-01,nan
UK Van Wagon Pack,2009-01-01,1 user reviews
CSX SD70MAC Add-on Livery,2009-01-01,nan
CSX ES44AC Add-on Livery,2009-01-01,nan
Saints Row 2,2009-01-28,Mostly Positive
Dead Space,2008-10-20,Very Positive
Rise of the Argonauts,2008-12-16,Mostly Positive
Mirror's Edge™,2009-01-13,Very Positive
Defense Grid: The Awakening,2008-12-08,Overwhelmingly Positive
F.E.A.R. 2: Project Origin,2009-02-12,Very Positive
Harvest: Massive Encounter,2008-03-05,Mostly Positive
Mayhem Intergalactic,2007-07-04,Mostly Positive
Larva Mortus,2009-03-19,Mostly Positive
Knights of Honor,2005-05-10,Very Positive
Ceville,2009-02-27,Very Positive
Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,Positive
Watchmen: The End is Nigh,2009-03-04,Mixed
Penumbra Overture,2007-03-30,Very Positive
Unreal Tournament 3 Black,2007-11-19,Very Positive
Drakensang,2009-02-27,Very Positive
Age of Booty™,2009-03-09,Mostly Negative
The Graveyard,2008-03-21,Mixed
Burnout Paradise: The Ultimate Box,2009-02-03,Very Positive
Zombie Master,2009-03-11,nan
The Maw,2009-03-09,Very Positive
The Maw: River Redirect,2009-03-16,nan
The Maw: Brute Force,2009-03-16,3 user reviews
Obulis,2009-03-19,Very Positive
Space Giraffe,2009-03-19,Mostly Positive
Codename: Panzers - Cold War,2009-03-10,Mixed
Escape Rosecliff Island,2009-04-15,Mixed
Guild Wars Nightfall®,2006-10-27,nan
Guild Wars® Game of the Year Edition,2005-04-28,6 user reviews
Guild Wars Factions®,2006-04-28,nan
Guild Wars Trilogy,2008-09-25,Positive
Puzzle Kingdoms,2009-04-16,Mixed
Samantha Swift and the Golden Touch,2009-04-29,Mixed
Two Worlds Epic Edition,2009-04-30,Mostly Positive
Helldorado,2009-04-30,Mixed
X-Blades,2009-02-10,Mixed
Zeno Clash,2009-04-21,Very Positive
The Maw: Speeder Lane,2009-04-29,1 user reviews
King's Bounty: The Legend,2008-09-23,Very Positive
Virtual Families,2009-05-06,Mostly Positive
Death Track®: Resurrection,2009-05-06,Mixed
Freedom Force vs. the Third Reich,2005-03-08,Very Positive
Freedom Force,2002-03-26,Mixed
Light of Altair,2009-06-04,Positive
Darkest Hour: Europe '44-'45,2009-06-09,Very Positive
Prototype™,2009-06-10,Very Positive
Blueberry Garden,Jun 2009,Mostly Positive
Port Royale 2,2004-04-30,Mixed
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,Mostly Positive
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,Very Positive
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,Very Positive
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,Very Positive
Ankh 2: Heart of Osiris,2007-05-18,Mixed
Armored Fist 3,1999-09-01,Mostly Positive
MiG-29 Fulcrum,1998-09-07,Mostly Positive
BC Kings,2008-09-15,Mixed
Call of Juarez®: Bound in Blood,2009-06-30,Very Positive
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,Positive
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,Positive
Nancy Drew®: The Phantom of Venice,2008-07-01,Positive
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,Positive
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,Very Positive
Hunting Unlimited 2010,2009-07-07,Mostly Positive
Tales of Monkey Island Complete Pack,2009-07-07,Very Positive
Street Fighter® IV,2009-07-07,Mostly Positive
Thrillville®: Off the Rails™,2007-10-09,Very Positive
Indiana Jones® and the Fate of Atlantis™,1992-06-01,Very Positive
Armed and Dangerous®,2003-12-02,Very Positive
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,Very Positive
Indiana Jones® and the Last Crusade™,1989-07-01,Mostly Positive
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,Mostly Positive
The Secret of Monkey Island: Special Edition,2009-07-15,Overwhelmingly Positive
Warfare,2008-11-20,Mostly Positive
Clutch,2009-06-02,Mostly Positive
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,Mixed
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,3 user reviews
3D Ultra™ Minigolf Adventures,2006-12-20,Mostly Positive
King's Quest™ Collection,2006-09-01,Mostly Positive
TimeShift™,2007-10-30,Mostly Positive
Space Quest™ Collection,2006-09-01,Mostly Positive
Killing Floor Outbreak Character Pack,2009-07-24,Positive
Aces of the Galaxy™,2008-06-04,Mixed
Tropico Reloaded,2009-07-24,Very Positive
Mystery P.I. - Lost in Los Angeles,2009-07-27,9 user reviews
Bionic Commando: Rearmed,2008-08-14,Mostly Positive
Bionic Commando,2009-07-28,Mostly Positive
Watchmen: The End is Nigh Part 2,2009-07-29,Mixed
Foreign Legion: Buckets of Blood,2009-08-04,Mixed
STAR WARS™ - Knights of the Old Republic™,2003-11-19,Very Positive
Osmos,2009-08-18,Very Positive
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,Very Positive
Fallout Tactics: Brotherhood of Steel,2001-03-01,Very Positive
Kingpin — Life of Crime,1999-06-01,Very Positive
Sacrifice,2000-11-01,Very Positive
Mini Ninjas Demo,2009-08-19,Positive
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,Positive
Jewel Quest Pack,2009-08-24,Positive
Mahjong Quest Collection,2009-08-24,Positive
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,Very Positive
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,Very Positive
Crash Time 2,2009-08-27,Mixed
XIII Century – Gold Edition,2009-08-28,Mixed
World of Zoo,2009-10-30,Mostly Positive
18 Wheels of Steel: Extreme Trucker,2009-09-23,Mixed
Mini Ninjas,2009-09-08,Very Positive
Freeze Tag Fun Pack #2,2009-09-23,nan
Freeze Tag Fun Pack #1,1999-11-30,nan
Windosill,2009-05-26,Very Positive
Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,Mixed
Midnight Mysteries,2009-09-28,Mostly Positive
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,Positive
Joint Operations: Combined Arms Gold,2009-08-18,Very Positive
Train Simulator: US Loco &amp; Asset Pack,2009-10-01,Positive
DinerTown Tycoon,2009-09-30,Mixed
Train Simulator: European Loco &amp; Asset Pack,2009-10-01,Very Positive
Risen,2009-10-30,Very Positive
Flora's Fruit Farm,2009-10-01,Mostly Positive
Empire: Total War™ - The Warpath Campaign,2009-10-05,Mostly Positive
Machinarium,2009-10-16,Overwhelmingly Positive
Medal of Honor: Airborne,2007-09-04,Mostly Positive
Need for Speed: Shift,2009-09-15,Mostly Positive
Torchlight,2009-10-27,Very Positive
Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,Very Positive
The Stronghold Collection,2009-10-27,Very Positive
East India Company: Privateer,2009-10-27,1 user reviews
Painkiller: Resurrection,2009-10-27,Mostly Negative
SpellForce 2 - Anniversary Edition,2009-10-29,Mostly Positive
Secret Files: Tunguska,2009-10-29,Very Positive
Rush for Berlin Gold,2009-10-29,Very Positive
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,Mixed
Men of War: Red Tide,2009-11-01,Very Positive
Hammerfight,2009-09-19,Very Positive
SpellForce - Platinum Edition,2009-11-03,Very Positive
Massive Assault: Phantom Renaissance,2005-03-03,9 user reviews
Massive Assault,2003-10-28,9 user reviews
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,Mostly Positive
Serious Sam HD: The First Encounter,2009-11-24,Very Positive
Secret Files 2: Puritas Cordis,2009-10-29,Mostly Positive
Dragon Age: Origins,2009-11-06,Very Positive
Aztaka,2009-05-07,Mostly Positive
Magnetis,2009-11-05,Mostly Positive
For The Glory: A Europa Universalis Game,2009-11-11,Mostly Positive
Call of Duty®: Modern Warfare® 2,2009-11-12,Very Positive
LEGO® Star Wars™ - The Complete Saga,2009-11-12,Very Positive
Overlord™,2007-06-26,Very Positive
Overlord™: Raising Hell,2008-02-15,Very Positive
Command &amp; Conquer 3: Tiberium Wars,2007-03-28,Very Positive
Yumsters 2: Around the World,2008-07-23,7 user reviews
Command &amp; Conquer 3: Kane's Wrath,2009-11-13,Very Positive
Gratuitous Space Battles,2009-11-16,Very Positive
Wings of Prey,2009-12-25,Mixed
The Bard's Tale,2005-06-17,Very Positive
Defence Alliance 2,2009-10-22,Mostly Negative
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,Mixed
Europa Universalis III: Heir to the Throne,2009-12-15,Positive
Fallout 3: Game of the Year Edition,2009-10-13,Very Positive
Gratuitous Space Battles: The Tribe,2009-12-16,1 user reviews
Build-A-Lot,2007-10-02,Positive
Build-A-Lot 2: Town of the Year,2008-04-29,2 user reviews
Build-A-Lot 3: Passport to Europe,2009-01-24,2 user reviews
Coconut Queen,2009-12-17,8 user reviews
Roogoo,2009-12-17,Mostly Positive
Devil May Cry 4,2008-07-08,Very Positive
Avencast: Rise of the Mage,2010-03-17,Mixed
Build-A-Lot 4: Power Source,2009-08-12,6 user reviews
"Pirates, Vikings, and Knights II",2010-02-12,Very Positive
Farm Frenzy 2,2008-08-27,Positive
Farm Frenzy 3: American Pie,2010-01-06,1 user reviews
Farm Frenzy 3,2009-09-11,5 user reviews
Farm Frenzy,2007-12-07,Positive
Farm Frenzy: Pizza Party,2009-02-18,7 user reviews
Cake Mania Main Street™,2010-02-16,Mostly Positive
Westward® IV: All Aboard,2010-02-16,Positive
Iron Roses,2010-02-16,5 user reviews
UFO: Extraterrestrials Gold,2010-02-17,Mostly Positive
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,Mostly Positive
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,4 user reviews
Super Laser  Racer,2010-02-18,Very Positive
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,nan
NecroVisioN: Lost Company,2010-02-19,Mostly Positive
Cradle of Persia,2007-12-01,6 user reviews
Aliens vs. Predator Swarm Map Pack,2010-03-18,Mostly Positive
Serious Sam Classic: The First Encounter,2001-03-21,Overwhelmingly Positive
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,8 user reviews
Mount &amp; Blade: Warband,2010-03-31,Overwhelmingly Positive
Coniclysm,2010-03-26,Mixed
Plain Sight,2010-04-05,Mixed
Lead and Gold: Gangs of the Wild West,2010-04-08,Mostly Positive
Grand Theft Auto: Episodes from Liberty City,2010-04-12,Mostly Positive
Dark Void™ Zero,2010-04-12,Mixed
Fortix,2010-04-14,Very Positive
Beat Hazard,2010-04-15,Overwhelmingly Positive
Sam &amp; Max: The Devil’s Playhouse,2010-04-15,Very Positive
M.U.D. TV,2010-04-19,Mostly Negative
Wings of Luftwaffe Add-on,2010-04-19,Mostly Negative
The Misadventures of P.B. Winterbottom,2010-04-20,Very Positive
AquaNox 2: Revelation,2003-08-19,Mostly Positive
AquaNox,2001-11-30,Mostly Positive
Fluttabyes,2010-04-20,Mixed
Hidden Expedition: Titanic,2006-07-19,4 user reviews
Hidden Expedition: Amazon,2008-06-19,9 user reviews
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,Positive
Fitness Dash™,2008-12-31,4 user reviews
Gemini Lost™,2009-09-24,9 user reviews
DinerTown Detective Agency™,2009-07-27,Mostly Negative
Mahjong Roadshow™,2007-10-19,5 user reviews
Hotel Dash™ Suite Success™,2009-12-24,Mostly Positive
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,4 user reviews
The Nightshift Code™,2008-02-11,5 user reviews
TriJinx: A Kristine Kross Mystery™,2007-12-31,3 user reviews
Valerie Porter and the Scarlet Scandal™,2009-12-21,6 user reviews
Biozone,2010-05-07,7 user reviews
Iron Grip: Warlord,2008-12-05,Very Positive
Rocket Knight,2010-05-11,Mostly Positive
Max and the Magic Marker,2010-05-12,Positive
Flight of the Icarus,2010-05-12,Mostly Negative
Puzzler World,2010-05-28,Very Positive
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,nan
Ziro,2010-05-28,Mostly Positive
Altered Beast™,2010-06-01,3 user reviews
Comix Zone™,2010-06-01,4 user reviews
SEGA Mega Drive and Genesis Classics,2010-06-01,Mostly Positive
Golden Axe™,2010-06-01,6 user reviews
Ecco the Dolphin™,2010-06-01,1 user reviews
Gain Ground™,2010-06-01,2 user reviews
Shinobi™ III: Return of the Ninja Master,2010-06-01,1 user reviews
Crack Down™,2010-06-01,3 user reviews
VectorMan™,2010-06-01,3 user reviews
Sonic 3D Blast™,2010-06-01,6 user reviews
Shadow Dancer™,2010-06-01,1 user reviews
Space Harrier™ II,2010-06-01,2 user reviews
Alpha Protocol™,2010-06-01,Very Positive
Alien Breed: Impact,2010-06-03,Mostly Positive
Fallout 3 - Point Lookout,2010-07-16,Positive
Defense Grid: Resurgence Map Pack 1,2010-06-02,9 user reviews
Fallout 3 - Mothership Zeta,2010-07-16,Mostly Positive
Fallout 3 - Broken Steel,2010-07-16,Very Positive
Fallout 3 - The Pitt,2010-07-16,Positive
Alien Swarm,2010-07-19,Overwhelmingly Positive
Fallout 3 - Operation Anchorage,2010-07-16,Positive
SimCity™ 4 Deluxe Edition,2003-09-22,Mostly Positive
Disciples III - Renaissance Steam Special Edition,2010-07-16,Mixed
Tidalis,2010-07-16,Mostly Positive
Razor2: Hidden Skies,2010-07-19,Mostly Negative
The Settlers 7: Uncharted Land Map Pack,2010-07-21,nan
Dimensity,2008-12-08,Mostly Negative
Kane &amp; Lynch 2: Dog Days,2010-08-17,Mixed
The Guild II Renaissance,2010-07-28,Very Positive
Hearts of Iron III DLC: German II Spritepack,2010-07-26,7 user reviews
Trainz Simulator DLC: Blue Comet,2010-08-06,nan
Fantasy Wars,2010-08-06,Very Positive
Mafia II,2011-03-22,Very Positive
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,9 user reviews
Puzzle Quest 2,2010-08-12,Very Positive
Burn Zombie Burn!,2010-08-12,Mixed
Madballs B*D*I Clan Skins,2010-08-16,nan
Madballs Scorched Evolution Skin Rollup,2010-08-16,nan
Madballs BDI Evolution Skin Rollup,2010-08-16,nan
Madballs Holiday Skin Rollup,2010-08-16,2 user reviews
Victoria I Complete,2010-08-20,Mixed
Ship Simulator Extremes,2010-08-27,Mixed
Worms Reloaded,2010-08-26,Very Positive
Making History II: The War of the World,2010-06-22,Mostly Positive
Arma 2: British Armed Forces,2010-08-27,Very Positive
Victoria II,2010-08-30,Very Positive
Booster Trooper Demo,2010-08-31,5 user reviews
Madballs Scorched Clan Skins,2010-08-16,nan
Kane &amp; Lynch 2: The Doggie Bag,2010-08-31,9 user reviews
Kane &amp; Lynch 2: Multiplayer Masks Pack,2010-08-31,Mostly Positive
Trainz: Classic Cabon City,2010-09-01,Mostly Negative
Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31,7 user reviews
Cossacks: Back to War,2002-11-01,Very Positive
Broken Sword: Director's Cut,2010-09-02,Very Positive
Chime,2010-09-06,Very Positive
Mafia II DLC: Jimmy's Vendetta,2010-09-06,Mixed
Sniper: Ghost Warrior - Map Pack,2010-09-08,Mostly Positive
VVVVVV,2010-09-07,Overwhelmingly Positive
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,nan
Amnesia: The Dark Descent,2010-09-08,Overwhelmingly Positive
Recettear: An Item Shop's Tale,2010-09-10,Overwhelmingly Positive
Swarm Arena,2010-08-19,Mostly Positive
Super Thunder Blade™,2010-09-13,1 user reviews
Galaxy Force II™,2010-09-13,2 user reviews
Hacker Evolution,2010-09-14,Mixed
Hacker Evolution: Untold,2010-09-14,Mixed
Faerie Solitaire,2010-09-17,Very Positive
Patrician IV - Steam Special Edition,2010-09-17,Mixed
Bonanza Bros.™,2010-09-13,3 user reviews
King's Bounty: Crossworlds,2010-09-17,Very Positive
Train Simulator: Green &amp; Gold HST DMU Add-On,2010-09-17,Positive
Sid Meier's Civilization® V,2010-09-21,Overwhelmingly Positive
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,2 user reviews
Serious Sam Classic: The Second Encounter,2002-02-05,Overwhelmingly Positive
Star Ruler,2010-09-20,Very Positive
Blade Kitten,2010-09-22,Very Positive
Alien Breed 2: Assault,2010-09-22,Mostly Positive
Serious Sam HD: Gold Edition,2010-09-23,nan
Darksiders™,2010-09-23,Very Positive
X: Beyond the Frontier,1999-07-01,Mostly Positive
The Kings' Crusade,2010-10-08,Mixed
Guild Wars: Eye of the North®,2007-08-31,1 user reviews
X: Tension,2000-06-01,Mostly Positive
Age of Wonders II: The Wizard's Throne,Oct 2010,Mostly Positive
Governor of Poker 2,2010-10-11,Very Positive
Governor of Poker 2 - Premium Edition,2010-10-11,Very Positive
Age of Wonders Shadow Magic,Oct 2010,Very Positive
Age of Wonders,Oct 2010,Very Positive
Medal of Honor™,2010-10-12,Mostly Positive
Grotesque Tactics: Evil Heroes,2010-10-15,Mixed
Lost Planet® 2,2010-10-15,Mixed
Doc Clock: The Toasted Sandwich of Time,2010-10-15,Mostly Negative
Fallout: New Vegas,2010-10-19,Overwhelmingly Positive
The Polynomial - Space of the music,2010-10-15,Mostly Positive
Puzzle Bots,2010-10-22,Positive
Nimbus,2010-10-25,Very Positive
Civilization V - Babylon (Nebuchadnezzar II),2010-10-25,Very Positive
DeathSpank,2010-10-25,Very Positive
Virtua Fighter™ 2,2010-10-26,4 user reviews
Columns™ III,2010-10-26,2 user reviews
Sword of Vermilion™,2010-10-26,3 user reviews
Golden Axe™ II,2010-10-26,5 user reviews
Sonic The Hedgehog,2010-10-26,Positive
Flicky™,2010-10-26,2 user reviews
