title,release_date,metascore
Railroad Tycoon II Platinum,1998-10-31,89
RIP - Trilogy™,2007-06-01,NA
X-COM: Terror From the Deep,1995-04-01,nan
Tomb Raider: Anniversary,2007-06-05,83
Devil May Cry® 3 Special Edition,2006-05-23,66
Sam &amp; Max 101: Culture Shock,2006-10-17,nan
Final DOOM,1996-06-17,nan
Vigil: Blood Bitterness™,2007-06-29,61
Sam &amp; Max 102: Situation: Comedy,2006-12-20,nan
Ultimate Doom,1995-04-30,nan
Master Levels for Doom II,1995-06-01,nan
DOOM II,1994-05-05,83
Wolfenstein 3D,1994-08-03,nan
Return to Castle Wolfenstein,2001-11-20,88
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,nan
Spear of Destiny,1993-10-10,nan
BloodRayne,2003-09-09,65
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,nan
QUAKE,2007-05-31,94
Genesis Rising,2007-03-20,57
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,nan
BioShock™,2007-08-21,96
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,86
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,87
Rome: Total War™ - Collection,2004-09-22,92
Rome: Total War™ - Alexander,2006-06-26,79
Mystery Case Files: Madame Fate®,2007-12-14,nan
Grand Theft Auto,1998-06-30,nan
Grand Theft Auto 2,1999-10-25,nan
Manhunt,2004-04-20,75
Midnight Club 2,2003-07-01,81
Max Payne 2: The Fall of Max Payne,2003-10-14,86
Tomb Raider: Legend,2006-04-07,82
Max Payne,2001-07-25,89
Command &amp; Conquer: Red Alert 3,2008-10-28,82
PuzzleQuest: Challenge of the Warlords,2007-10-10,84
Culpa Innata,2007-10-23,66
Prison Tycoon 3™: Lockdown,2007-08-01,nan
Hunting Unlimited™ 2008,2007-09-01,nan
18 Wheels of Steel: American Long Haul,2007-12-03,NA
Conflict: Denied Ops,2008-02-08,58
ARMA: Combat Operations,2007-05-08,74
Tycoon City: New York,2006-02-21,67
Desperados 2: Cooper's Revenge,2006-05-02,66
Death to Spies,2007-10-16,69
Act of War: High Treason,2006-05-30,74
RollerCoaster Tycoon® 3: Platinum,2006-10-26,81
Act of War: Direct Action,2005-03-14,82
Unreal 2: The Awakening,2003-02-03,75
Unreal Gold,1998-04-30,NA
Ninja Reflex: Steamworks Edition,2008-03-21,57
Tom Clancy's Splinter Cell®,2003-02-18,91
Far Cry®,2004-03-23,89
Unreal Tournament: Game of the Year Edition,2000-10-25,92
Tom Clancy's Rainbow Six® Vegas,2006-12-12,85
Silent Hunter® III,2005-03-15,90
Virtual Villagers - The Secret City,2008-05-28,nan
Mystery P.I.™ - The Vegas Heist,2008-06-04,nan
Luxor,2008-06-10,nan
Reaxxion,2008-06-10,nan
Little Farm,2008-06-10,nan
7 Wonders II,2008-06-10,nan
Luxor Amun Rising,2005-12-08,nan
Luxor 3,2007-11-13,nan
Petz® Horsez® 2,2007-11-13,nan
Luxor 2,2005-12-08,nan
Rayman Raving Rabbids™,2007-03-27,58
Silent Hunter®: Wolves of the Pacific,2007-03-20,79
IL-2 Sturmovik: 1946,2006-12-15,86
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,NA
Bone: Out From Boneville,2005-09-15,68
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,NA
Bone: The Great Cow Race,2006-04-12,76
Sprint Cars Road to Knoxville,2008-07-29,NA
Dr. Daisy Pet Vet,2008-01-08,NA
Ride! Carnival Tycoon,2007-07-02,NA
Hot Dish,2008-01-12,NA
Mahjongg Investigations: Under Suspicion,2007-08-08,NA
Dracula Origin,2008-05-20,70
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,NA
Sherlock Holmes - Nemesis,2008-04-14,71
Eternity's Child,2008-07-31,NA
Pacific Storm Allies,2007-05-25,60
Tank Universal,2008-08-21,NA
FlatOut: Ultimate Carnage,2008-08-19,79
Oddworld: Abe's Exoddus®,1998-11-17,NA
Oddworld: Abe's Oddysee®,1997-12-12,NA
GTR Evolution Expansion Pack for RACE 07,2008-09-01,83
X-COM: Enforcer,2001-04-19,65
X-COM: Apocalypse,1997-07-15,NA
X-COM: UFO Defense,1993-12-31,NA
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,75
Crysis Warhead®,2008-09-17,84
Crysis,2007-11-13,91
X-COM: Interceptor,1998-06-15,NA
The Witcher: Enhanced Edition Director's Cut,2008-09-16,86
Multiwinia,2008-09-19,76
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,NA
Children of the Nile: Alexandria,2008-08-28,NA
Sid Meier's Civilization IV: Colonization,2008-09-23,83
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,85
LEGO Batman,2008-09-29,80
City Life 2008,2008-07-18,NA
Hinterland,2008-09-30,65
Brothers in Arms: Hell's Highway™,2008-10-08,79
Gravitron 2,2008-08-31,NA
Xpand Rally Xtreme,2006-12-01,NA
Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,66
Brothers in Arms: Earned in Blood™,2005-10-04,84
Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,70
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,66
Brain Spa,2007-09-25,NA
The Sum of All Fears,2002-05-31,72
Peggle™ Nights,2008-10-15,76
World of Goo,2008-10-13,90
X3: Terran Conflict,2008-10-16,73
Mare Nostrum,2008-10-17,nan
Spectraball,2008-10-20,NA
Galactic Bowling,2008-10-21,NA
Bully: Scholarship Edition,2008-10-21,72
Far Cry® 2: Fortune's Edition,2008-10-22,85
Space Trader: Merchant Marine,2008-10-23,NA
PRR Wagon Pack 01,2009-01-01,nan
"Class 421 London South East ""Jaffa Cake""",2009-01-01,nan
ATSF Wagon Pack 01,2009-01-01,nan
GP20 Union Pacific Add-on Livery,2009-01-01,nan
UK Van Wagon Pack,2009-01-01,nan
CSX SD70MAC Add-on Livery,2009-01-01,nan
CSX ES44AC Add-on Livery,2009-01-01,nan
Saints Row 2,2009-01-28,72
Dead Space,2008-10-20,86
Rise of the Argonauts,2008-12-16,59
Mirror's Edge™,2009-01-13,81
Defense Grid: The Awakening,2008-12-08,81
F.E.A.R. 2: Project Origin,2009-02-12,79
Harvest: Massive Encounter,2008-03-05,NA
Mayhem Intergalactic,2007-07-04,nan
Larva Mortus,2009-03-19,64
Knights of Honor,2005-05-10,77
Ceville,2009-02-27,73
Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,nan
Watchmen: The End is Nigh,2009-03-04,61
Penumbra Overture,2007-03-30,73
Unreal Tournament 3 Black,2007-11-19,83
Drakensang,2009-02-27,75
Age of Booty™,2009-03-09,NA
The Graveyard,2008-03-21,nan
Burnout Paradise: The Ultimate Box,2009-02-03,87
Zombie Master,2009-03-11,nan
The Maw,2009-03-09,75
The Maw: River Redirect,2009-03-16,nan
The Maw: Brute Force,2009-03-16,nan
Obulis,2009-03-19,nan
Space Giraffe,2009-03-19,nan
Codename: Panzers - Cold War,2009-03-10,nan
Escape Rosecliff Island,2009-04-15,NA
Guild Wars Nightfall®,2006-10-27,84
Guild Wars® Game of the Year Edition,2005-04-28,89
Guild Wars Factions®,2006-04-28,84
Guild Wars Trilogy,2008-09-25,nan
Puzzle Kingdoms,2009-04-16,NA
Samantha Swift and the Golden Touch,2009-04-29,NA
Two Worlds Epic Edition,2009-04-30,65
Helldorado,2009-04-30,65
X-Blades,2009-02-10,54
Zeno Clash,2009-04-21,77
The Maw: Speeder Lane,2009-04-29,nan
King's Bounty: The Legend,2008-09-23,79
Virtual Families,2009-05-06,nan
Death Track®: Resurrection,2009-05-06,53
Freedom Force vs. the Third Reich,2005-03-08,NA
Freedom Force,2002-03-26,90
Light of Altair,2009-06-04,66
Darkest Hour: Europe '44-'45,2009-06-09,nan
Prototype™,2009-06-10,79
Blueberry Garden,Jun 2009,68
Port Royale 2,2004-04-30,75
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,76
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,94
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,89
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,94
Ankh 2: Heart of Osiris,2007-05-18,NA
Armored Fist 3,1999-09-01,nan
MiG-29 Fulcrum,1998-09-07,nan
BC Kings,2008-09-15,NA
Call of Juarez®: Bound in Blood,2009-06-30,78
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,79
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,68
Nancy Drew®: The Phantom of Venice,2008-07-01,69
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,73
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,nan
Hunting Unlimited 2010,2009-07-07,nan
Tales of Monkey Island Complete Pack,2009-07-07,79
Street Fighter® IV,2009-07-07,91
Thrillville®: Off the Rails™,2007-10-09,70
Indiana Jones® and the Fate of Atlantis™,1992-06-01,nan
Armed and Dangerous®,2003-12-02,78
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,78
Indiana Jones® and the Last Crusade™,1989-07-01,nan
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,78
The Secret of Monkey Island: Special Edition,2009-07-15,86
Warfare,2008-11-20,nan
Clutch,2009-06-02,51
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,78
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,nan
3D Ultra™ Minigolf Adventures,2006-12-20,NA
King's Quest™ Collection,2006-09-01,nan
TimeShift™,2007-10-30,71
Space Quest™ Collection,2006-09-01,nan
Killing Floor Outbreak Character Pack,2009-07-24,nan
Aces of the Galaxy™,2008-06-04,nan
Tropico Reloaded,2009-07-24,nan
Mystery P.I. - Lost in Los Angeles,2009-07-27,nan
Bionic Commando: Rearmed,2008-08-14,86
Bionic Commando,2009-07-28,69
Watchmen: The End is Nigh Part 2,2009-07-29,44
Foreign Legion: Buckets of Blood,2009-08-04,nan
STAR WARS™ - Knights of the Old Republic™,2003-11-19,nan
Osmos,2009-08-18,80
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,86
Fallout Tactics: Brotherhood of Steel,2001-03-01,82
Kingpin — Life of Crime,1999-06-01,nan
Sacrifice,2000-11-01,89
Mini Ninjas Demo,2009-08-19,nan
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,nan
Jewel Quest Pack,2009-08-24,nan
Mahjong Quest Collection,2009-08-24,nan
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,84
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,92
Crash Time 2,2009-08-27,nan
XIII Century – Gold Edition,2009-08-28,nan
World of Zoo,2009-10-30,nan
18 Wheels of Steel: Extreme Trucker,2009-09-23,nan
Mini Ninjas,2009-09-08,74
Freeze Tag Fun Pack #2,2009-09-23,nan
Freeze Tag Fun Pack #1,1999-11-30,nan
Windosill,2009-05-26,nan
Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,nan
Midnight Mysteries,2009-09-28,nan
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,nan
Joint Operations: Combined Arms Gold,2009-08-18,nan
Train Simulator: US Loco &amp; Asset Pack,2009-10-01,nan
DinerTown Tycoon,2009-09-30,nan
Train Simulator: European Loco &amp; Asset Pack,2009-10-01,nan
Risen,2009-10-30,77
Flora's Fruit Farm,2009-10-01,nan
Empire: Total War™ - The Warpath Campaign,2009-10-05,nan
Machinarium,2009-10-16,85
Medal of Honor: Airborne,2007-09-04,78
Need for Speed: Shift,2009-09-15,83
Torchlight,2009-10-27,83
Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,nan
The Stronghold Collection,2009-10-27,nan
East India Company: Privateer,2009-10-27,63
Painkiller: Resurrection,2009-10-27,38
SpellForce 2 - Anniversary Edition,2009-10-29,80
Secret Files: Tunguska,2009-10-29,nan
Rush for Berlin Gold,2009-10-29,76
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,nan
Men of War: Red Tide,2009-11-01,77
Hammerfight,2009-09-19,nan
SpellForce - Platinum Edition,2009-11-03,74
Massive Assault: Phantom Renaissance,2005-03-03,nan
Massive Assault,2003-10-28,77
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,77
Serious Sam HD: The First Encounter,2009-11-24,68
Secret Files 2: Puritas Cordis,2009-10-29,64
Dragon Age: Origins,2009-11-06,91
Aztaka,2009-05-07,nan
Magnetis,2009-11-05,nan
For The Glory: A Europa Universalis Game,2009-11-11,nan
Call of Duty®: Modern Warfare® 2,2009-11-12,86
LEGO® Star Wars™ - The Complete Saga,2009-11-12,77
Overlord™,2007-06-26,81
Overlord™: Raising Hell,2008-02-15,nan
Command &amp; Conquer 3: Tiberium Wars,2007-03-28,85
Yumsters 2: Around the World,2008-07-23,nan
Command &amp; Conquer 3: Kane's Wrath,2009-11-13,77
Gratuitous Space Battles,2009-11-16,72
Wings of Prey,2009-12-25,78
The Bard's Tale,2005-06-17,70
Defence Alliance 2,2009-10-22,nan
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,65
Europa Universalis III: Heir to the Throne,2009-12-15,86
Fallout 3: Game of the Year Edition,2009-10-13,91
Gratuitous Space Battles: The Tribe,2009-12-16,nan
Build-A-Lot,2007-10-02,nan
Build-A-Lot 2: Town of the Year,2008-04-29,nan
Build-A-Lot 3: Passport to Europe,2009-01-24,nan
Coconut Queen,2009-12-17,nan
Roogoo,2009-12-17,72
Devil May Cry 4,2008-07-08,78
Avencast: Rise of the Mage,2010-03-17,68
Build-A-Lot 4: Power Source,2009-08-12,nan
"Pirates, Vikings, and Knights II",2010-02-12,nan
Farm Frenzy 2,2008-08-27,nan
Farm Frenzy 3: American Pie,2010-01-06,nan
Farm Frenzy 3,2009-09-11,nan
Farm Frenzy,2007-12-07,nan
Farm Frenzy: Pizza Party,2009-02-18,nan
Cake Mania Main Street™,2010-02-16,nan
Westward® IV: All Aboard,2010-02-16,nan
Iron Roses,2010-02-16,nan
UFO: Extraterrestrials Gold,2010-02-17,68
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,66
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,57
Super Laser  Racer,2010-02-18,nan
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,nan
NecroVisioN: Lost Company,2010-02-19,nan
Cradle of Persia,2007-12-01,nan
Aliens vs. Predator Swarm Map Pack,2010-03-18,nan
Serious Sam Classic: The First Encounter,2001-03-21,87
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,nan
Mount &amp; Blade: Warband,2010-03-31,78
Coniclysm,2010-03-26,nan
Plain Sight,2010-04-05,76
Lead and Gold: Gangs of the Wild West,2010-04-08,70
Grand Theft Auto: Episodes from Liberty City,2010-04-12,nan
Dark Void™ Zero,2010-04-12,nan
Fortix,2010-04-14,nan
Beat Hazard,2010-04-15,70
Sam &amp; Max: The Devil’s Playhouse,2010-04-15,nan
M.U.D. TV,2010-04-19,53
Wings of Luftwaffe Add-on,2010-04-19,nan
The Misadventures of P.B. Winterbottom,2010-04-20,79
AquaNox 2: Revelation,2003-08-19,59
AquaNox,2001-11-30,67
Fluttabyes,2010-04-20,nan
Hidden Expedition: Titanic,2006-07-19,nan
Hidden Expedition: Amazon,2008-06-19,nan
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,nan
Fitness Dash™,2008-12-31,nan
Gemini Lost™,2009-09-24,nan
DinerTown Detective Agency™,2009-07-27,nan
Mahjong Roadshow™,2007-10-19,nan
Hotel Dash™ Suite Success™,2009-12-24,nan
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,nan
The Nightshift Code™,2008-02-11,nan
TriJinx: A Kristine Kross Mystery™,2007-12-31,nan
Valerie Porter and the Scarlet Scandal™,2009-12-21,nan
Biozone,2010-05-07,nan
Iron Grip: Warlord,2008-12-05,59
Rocket Knight,2010-05-11,63
Max and the Magic Marker,2010-05-12,nan
Flight of the Icarus,2010-05-12,nan
Puzzler World,2010-05-28,nan
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,nan
Ziro,2010-05-28,nan
Altered Beast™,2010-06-01,nan
Comix Zone™,2010-06-01,nan
SEGA Mega Drive and Genesis Classics,2010-06-01,nan
Golden Axe™,2010-06-01,nan
Ecco the Dolphin™,2010-06-01,nan
Gain Ground™,2010-06-01,nan
Shinobi™ III: Return of the Ninja Master,2010-06-01,nan
Crack Down™,2010-06-01,nan
VectorMan™,2010-06-01,nan
Sonic 3D Blast™,2010-06-01,nan
Shadow Dancer™,2010-06-01,nan
Space Harrier™ II,2010-06-01,nan
Alpha Protocol™,2010-06-01,72
Alien Breed: Impact,2010-06-03,64
Fallout 3 - Point Lookout,2010-07-16,nan
Defense Grid: Resurgence Map Pack 1,2010-06-02,nan
Fallout 3 - Mothership Zeta,2010-07-16,nan
Fallout 3 - Broken Steel,2010-07-16,nan
Fallout 3 - The Pitt,2010-07-16,nan
Alien Swarm,2010-07-19,77
Fallout 3 - Operation Anchorage,2010-07-16,nan
SimCity™ 4 Deluxe Edition,2003-09-22,nan
Disciples III - Renaissance Steam Special Edition,2010-07-16,56
Tidalis,2010-07-16,75
Razor2: Hidden Skies,2010-07-19,61
The Settlers 7: Uncharted Land Map Pack,2010-07-21,nan
Dimensity,2008-12-08,nan
Kane &amp; Lynch 2: Dog Days,2010-08-17,66
The Guild II Renaissance,2010-07-28,56
Hearts of Iron III DLC: German II Spritepack,2010-07-26,nan
Trainz Simulator DLC: Blue Comet,2010-08-06,nan
Fantasy Wars,2010-08-06,67
Mafia II,2011-03-22,77
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,nan
Puzzle Quest 2,2010-08-12,83
Burn Zombie Burn!,2010-08-12,72
Madballs B*D*I Clan Skins,2010-08-16,nan
Madballs Scorched Evolution Skin Rollup,2010-08-16,nan
Madballs BDI Evolution Skin Rollup,2010-08-16,nan
Madballs Holiday Skin Rollup,2010-08-16,nan
Victoria I Complete,2010-08-20,nan
Ship Simulator Extremes,2010-08-27,49
Worms Reloaded,2010-08-26,79
Making History II: The War of the World,2010-06-22,38
Arma 2: British Armed Forces,2010-08-27,nan
Victoria II,2010-08-30,75
Booster Trooper Demo,2010-08-31,nan
Madballs Scorched Clan Skins,2010-08-16,nan
Kane &amp; Lynch 2: The Doggie Bag,2010-08-31,nan
Kane &amp; Lynch 2: Multiplayer Masks Pack,2010-08-31,nan
Trainz: Classic Cabon City,2010-09-01,nan
Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31,nan
Cossacks: Back to War,2002-11-01,60
Broken Sword: Director's Cut,2010-09-02,nan
Chime,2010-09-06,nan
Mafia II DLC: Jimmy's Vendetta,2010-09-06,nan
Sniper: Ghost Warrior - Map Pack,2010-09-08,nan
VVVVVV,2010-09-07,81
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,nan
Amnesia: The Dark Descent,2010-09-08,85
Recettear: An Item Shop's Tale,2010-09-10,82
Swarm Arena,2010-08-19,nan
Super Thunder Blade™,2010-09-13,nan
Galaxy Force II™,2010-09-13,nan
Hacker Evolution,2010-09-14,nan
Hacker Evolution: Untold,2010-09-14,nan
Faerie Solitaire,2010-09-17,nan
Patrician IV - Steam Special Edition,2010-09-17,66
Bonanza Bros.™,2010-09-13,nan
King's Bounty: Crossworlds,2010-09-17,78
Train Simulator: Green &amp; Gold HST DMU Add-On,2010-09-17,nan
Sid Meier's Civilization® V,2010-09-21,90
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,nan
Serious Sam Classic: The Second Encounter,2002-02-05,85
Star Ruler,2010-09-20,nan
Blade Kitten,2010-09-22,52
Alien Breed 2: Assault,2010-09-22,63
Serious Sam HD: Gold Edition,2010-09-23,nan
Darksiders™,2010-09-23,83
X: Beyond the Frontier,1999-07-01,67
The Kings' Crusade,2010-10-08,71
Guild Wars: Eye of the North®,2007-08-31,79
X: Tension,2000-06-01,nan
Age of Wonders II: The Wizard's Throne,Oct 2010,86
Governor of Poker 2,2010-10-11,nan
Governor of Poker 2 - Premium Edition,2010-10-11,nan
Age of Wonders Shadow Magic,Oct 2010,82
Age of Wonders,Oct 2010,nan
Medal of Honor™,2010-10-12,72
Grotesque Tactics: Evil Heroes,2010-10-15,65
Lost Planet® 2,2010-10-15,63
Doc Clock: The Toasted Sandwich of Time,2010-10-15,62
Fallout: New Vegas,2010-10-19,84
The Polynomial - Space of the music,2010-10-15,nan
Puzzle Bots,2010-10-22,nan
Nimbus,2010-10-25,80
Civilization V - Babylon (Nebuchadnezzar II),2010-10-25,nan
DeathSpank,2010-10-25,77
Virtua Fighter™ 2,2010-10-26,nan
Columns™ III,2010-10-26,nan
Sword of Vermilion™,2010-10-26,nan
Golden Axe™ II,2010-10-26,nan
Sonic The Hedgehog,2010-10-26,nan
Flicky™,2010-10-26,nan
ESWAT™: City Under Siege,2010-10-26,nan
Ecco™: The Tides of Time,2010-10-26,nan
Decap Attack™,2010-10-26,nan
Bio-Hazard Battle™,2010-10-26,nan
Alien Storm,2010-10-26,nan
Shank,2010-10-25,67
The Ball,2010-10-26,68
STAR WARS™: The Force Unleashed™ II,2010-10-26,59
Flight Control HD,2010-11-18,nan
Patrician III,2010-11-18,75
BIT.TRIP BEAT,2010-11-02,nan
Theatre of War 2 - Battle for Caen,2010-11-02,nan
Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02,nan
Clones,2010-11-18,nan
Victoria II: Interwar Spritepack,2010-11-02,nan
Front Mission Evolved: Wanzer Pack 2,2010-11-02,nan
Pound of Ground,2010-11-05,nan
Pat &amp; Mat,2009-10-01,nan
Alternativa,2010-11-03,63
Fish Fillets 2,2007-04-05,nan
Archon Classic,2010-11-02,nan
Call of Duty®: Black Ops,2010-11-09,81
Rhythm Zone Tornado Visualizer DLC,2010-11-09,nan
Arcadia,2010-12-02,nan
Oddworld: Munch's Oddysee,2010-12-20,nan
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,nan
Oddworld: Stranger's Wrath HD,2010-12-20,nan
Clickr,2010-12-23,nan
Back to the Future: The Game,2010-12-23,74
Grand Theft Auto III,2002-05-21,93
Grand Theft Auto: San Andreas,2005-06-06,93
Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07,nan
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011-01-07,nan
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011-01-07,nan
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011-01-07,nan
Grand Theft Auto: Vice City,2003-05-13,94
Zeit²,2011-01-12,72
A.R.E.S.: Extinction Agenda,2011-01-20,68
APOX,2011-01-20,48
Dead Space™ 2,2011-01-25,87
Drawn®: The Painted Tower,2011-01-19,nan
Kaptain Brawe: A Brawe New World,2011-01-20,69
Wonder Boy III: Monster Lair,2011-01-26,nan
Monday Night Combat,2011-01-24,82
Luxor: 5th Passage,2011-01-25,nan
Alien Soldier,2011-01-26,nan
Shining in the Darkness,2011-01-26,nan
Light Crusader,2011-01-26,nan
Landstalker: The Treasures of King Nole,2011-01-26,nan
Gunstar Heroes,2011-01-26,nan
ToeJam &amp; Earl,2011-01-26,nan
Streets of Rage 2,2011-01-26,nan
Sonic The Hedgehog 2,2011-01-26,nan
Streets of Rage,2011-01-26,nan
Sonic 3 &amp;  Knuckles,2011-01-26,nan
Shining Force II,2011-01-26,nan
Shining Force,2011-01-26,nan
The Sims™ 3,2009-06-02,86
Ship Simulator Extremes: Sigita Pack,2011-01-26,nan
The Sims™ 3 Fast Lane Stuff,2010-09-07,nan
The Sims™ 3 World Adventures,2009-11-17,81
The Sims™ 3 Late Night,2010-10-26,74
The Sims™ 3 Ambitions,2010-06-02,74
The Sims™ 3 High-End Loft Stuff,2010-02-02,nan
Trino,2011-01-27,nan
Mishap 2: An Intentional Haunting - Collector's Edition,2011-01-28,nan
The Sims™ 3 Outdoor Living Stuff,2011-02-01,nan
Who's That Flying?!,2011-01-31,76
Myst: Masterpiece Edition,2011-02-02,nan
Guardians of Graxia: Elves &amp; Dwarves,2011-02-01,nan
Two Worlds II HD,2011-02-03,76
YOU DON’T KNOW JACK®,2011-02-08,71
Test Drive Unlimited 2,Feb 2011,72
King Arthur: The Druids,2011-02-03,nan
Gratuitous Space Battles: Galactic Conquest,2011-02-11,nan
The Kings' Crusade: New Allies,2011-02-09,nan
DUNGEONS - Steam Special Edition,2011-02-10,65
AI War: Light of the Spire,2011-02-14,nan
Drakensang: The River of Time,2011-01-11,nan
RISK™: Factions,2011-03-08,77
Crazy Machines 2: Time Travel Add-On,2011-03-11,nan
BIT.TRIP RUNNER,2011-02-28,nan
