title,release_date,early_access
Zen of Sudoku,2006-12-14,False
Gumboy - Crazy Adventures™,2006-12-19,False
Ghost Master®,2003-08-23,False
Vegas: Make It Big™,2006-12-21,False
Dreamfall: The Longest Journey,2006-04-17,False
FlatOut 2™,2006-08-01,False
FlatOut,2005-07-12,False
Lost Planet™: Extreme Condition,2007-06-26,False
CivCity: Rome,2006-07-24,False
Arx Fatalis,2002-11-12,False
The Longest Journey,2000-11-17,False
Civilization IV®: Warlords,2006-07-24,False
Railroad Tycoon 3,2003-10-23,False
Sid Meier's Railroads!,2006-10-16,False
nan,nan,False
Railroad Tycoon II Platinum,1998-10-31,False
RIP - Trilogy™,2007-06-01,False
X-COM: Terror From the Deep,1995-04-01,False
Tomb Raider: Anniversary,2007-06-05,False
Devil May Cry® 3 Special Edition,2006-05-23,False
Sam &amp; Max 101: Culture Shock,2006-10-17,False
Final DOOM,1996-06-17,False
Vigil: Blood Bitterness™,2007-06-29,False
Sam &amp; Max 102: Situation: Comedy,2006-12-20,False
Ultimate Doom,1995-04-30,False
Master Levels for Doom II,1995-06-01,False
DOOM II,1994-05-05,False
Wolfenstein 3D,1994-08-03,False
Return to Castle Wolfenstein,2001-11-20,False
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,False
Spear of Destiny,1993-10-10,False
BloodRayne,2003-09-09,False
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,False
QUAKE,2007-05-31,False
Genesis Rising,2007-03-20,False
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,False
BioShock™,2007-08-21,False
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,False
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,False
Rome: Total War™ - Collection,2004-09-22,False
Rome: Total War™ - Alexander,2006-06-26,False
Mystery Case Files: Madame Fate®,2007-12-14,False
Grand Theft Auto,1998-06-30,False
Grand Theft Auto 2,1999-10-25,False
Manhunt,2004-04-20,False
Midnight Club 2,2003-07-01,False
Max Payne 2: The Fall of Max Payne,2003-10-14,False
Tomb Raider: Legend,2006-04-07,False
Max Payne,2001-07-25,False
Command &amp; Conquer: Red Alert 3,2008-10-28,False
PuzzleQuest: Challenge of the Warlords,2007-10-10,False
Culpa Innata,2007-10-23,False
Prison Tycoon 3™: Lockdown,2007-08-01,False
Hunting Unlimited™ 2008,2007-09-01,False
18 Wheels of Steel: American Long Haul,2007-12-03,False
Conflict: Denied Ops,2008-02-08,False
ARMA: Combat Operations,2007-05-08,False
Tycoon City: New York,2006-02-21,False
Desperados 2: Cooper's Revenge,2006-05-02,False
Death to Spies,2007-10-16,False
Act of War: High Treason,2006-05-30,False
RollerCoaster Tycoon® 3: Platinum,2006-10-26,False
Act of War: Direct Action,2005-03-14,False
Unreal 2: The Awakening,2003-02-03,False
Unreal Gold,1998-04-30,False
Ninja Reflex: Steamworks Edition,2008-03-21,False
Tom Clancy's Splinter Cell®,2003-02-18,False
Far Cry®,2004-03-23,False
Unreal Tournament: Game of the Year Edition,2000-10-25,False
Tom Clancy's Rainbow Six® Vegas,2006-12-12,False
Silent Hunter® III,2005-03-15,False
Virtual Villagers - The Secret City,2008-05-28,False
Mystery P.I.™ - The Vegas Heist,2008-06-04,False
Luxor,2008-06-10,False
Reaxxion,2008-06-10,False
Little Farm,2008-06-10,False
7 Wonders II,2008-06-10,False
Luxor Amun Rising,2005-12-08,False
Luxor 3,2007-11-13,False
Petz® Horsez® 2,2007-11-13,False
Luxor 2,2005-12-08,False
Rayman Raving Rabbids™,2007-03-27,False
Silent Hunter®: Wolves of the Pacific,2007-03-20,False
IL-2 Sturmovik: 1946,2006-12-15,False
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,False
Bone: Out From Boneville,2005-09-15,False
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,False
Bone: The Great Cow Race,2006-04-12,False
Sprint Cars Road to Knoxville,2008-07-29,False
Dr. Daisy Pet Vet,2008-01-08,False
Ride! Carnival Tycoon,2007-07-02,False
Hot Dish,2008-01-12,False
Mahjongg Investigations: Under Suspicion,2007-08-08,False
Dracula Origin,2008-05-20,False
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,False
Sherlock Holmes - Nemesis,2008-04-14,False
Eternity's Child,2008-07-31,False
Pacific Storm Allies,2007-05-25,False
Tank Universal,2008-08-21,False
FlatOut: Ultimate Carnage,2008-08-19,False
Oddworld: Abe's Exoddus®,1998-11-17,False
Oddworld: Abe's Oddysee®,1997-12-12,False
GTR Evolution Expansion Pack for RACE 07,2008-09-01,False
X-COM: Enforcer,2001-04-19,False
X-COM: Apocalypse,1997-07-15,False
X-COM: UFO Defense,1993-12-31,False
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,False
Crysis Warhead®,2008-09-17,False
Crysis,2007-11-13,False
X-COM: Interceptor,1998-06-15,False
The Witcher: Enhanced Edition Director's Cut,2008-09-16,False
Multiwinia,2008-09-19,False
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,False
Children of the Nile: Alexandria,2008-08-28,False
Sid Meier's Civilization IV: Colonization,2008-09-23,False
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,False
LEGO Batman,2008-09-29,False
City Life 2008,2008-07-18,False
Hinterland,2008-09-30,False
Brothers in Arms: Hell's Highway™,2008-10-08,False
Gravitron 2,2008-08-31,False
Xpand Rally Xtreme,2006-12-01,False
Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,False
Brothers in Arms: Earned in Blood™,2005-10-04,False
Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,False
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,False
Brain Spa,2007-09-25,False
The Sum of All Fears,2002-05-31,False
Peggle™ Nights,2008-10-15,False
World of Goo,2008-10-13,False
X3: Terran Conflict,2008-10-16,False
Mare Nostrum,2008-10-17,False
Spectraball,2008-10-20,False
Galactic Bowling,2008-10-21,False
Bully: Scholarship Edition,2008-10-21,False
Far Cry® 2: Fortune's Edition,2008-10-22,False
Space Trader: Merchant Marine,2008-10-23,False
PRR Wagon Pack 01,2009-01-01,False
"Class 421 London South East ""Jaffa Cake""",2009-01-01,False
ATSF Wagon Pack 01,2009-01-01,False
GP20 Union Pacific Add-on Livery,2009-01-01,False
UK Van Wagon Pack,2009-01-01,False
CSX SD70MAC Add-on Livery,2009-01-01,False
CSX ES44AC Add-on Livery,2009-01-01,False
Saints Row 2,2009-01-28,False
Dead Space,2008-10-20,False
Rise of the Argonauts,2008-12-16,False
Mirror's Edge™,2009-01-13,False
Defense Grid: The Awakening,2008-12-08,False
F.E.A.R. 2: Project Origin,2009-02-12,False
Harvest: Massive Encounter,2008-03-05,False
Mayhem Intergalactic,2007-07-04,False
Larva Mortus,2009-03-19,False
Knights of Honor,2005-05-10,False
Ceville,2009-02-27,False
Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,False
Watchmen: The End is Nigh,2009-03-04,False
Penumbra Overture,2007-03-30,False
Unreal Tournament 3 Black,2007-11-19,False
Drakensang,2009-02-27,False
Age of Booty™,2009-03-09,False
The Graveyard,2008-03-21,False
Burnout Paradise: The Ultimate Box,2009-02-03,False
Zombie Master,2009-03-11,False
The Maw,2009-03-09,False
The Maw: River Redirect,2009-03-16,False
The Maw: Brute Force,2009-03-16,False
Obulis,2009-03-19,False
Space Giraffe,2009-03-19,False
Codename: Panzers - Cold War,2009-03-10,False
Escape Rosecliff Island,2009-04-15,False
Guild Wars Nightfall®,2006-10-27,False
Guild Wars® Game of the Year Edition,2005-04-28,False
Guild Wars Factions®,2006-04-28,False
Guild Wars Trilogy,2008-09-25,False
Puzzle Kingdoms,2009-04-16,False
Samantha Swift and the Golden Touch,2009-04-29,False
Two Worlds Epic Edition,2009-04-30,False
Helldorado,2009-04-30,False
X-Blades,2009-02-10,False
Zeno Clash,2009-04-21,False
The Maw: Speeder Lane,2009-04-29,False
King's Bounty: The Legend,2008-09-23,False
Virtual Families,2009-05-06,False
Death Track®: Resurrection,2009-05-06,False
Freedom Force vs. the Third Reich,2005-03-08,False
Freedom Force,2002-03-26,False
Light of Altair,2009-06-04,False
Darkest Hour: Europe '44-'45,2009-06-09,False
Prototype™,2009-06-10,False
Blueberry Garden,Jun 2009,False
Port Royale 2,2004-04-30,False
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,False
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,False
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,False
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,False
Ankh 2: Heart of Osiris,2007-05-18,False
Armored Fist 3,1999-09-01,False
MiG-29 Fulcrum,1998-09-07,False
BC Kings,2008-09-15,False
Call of Juarez®: Bound in Blood,2009-06-30,False
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,False
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,False
Nancy Drew®: The Phantom of Venice,2008-07-01,False
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,False
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,False
Hunting Unlimited 2010,2009-07-07,False
Tales of Monkey Island Complete Pack,2009-07-07,False
Street Fighter® IV,2009-07-07,False
Thrillville®: Off the Rails™,2007-10-09,False
Indiana Jones® and the Fate of Atlantis™,1992-06-01,False
Armed and Dangerous®,2003-12-02,False
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,False
Indiana Jones® and the Last Crusade™,1989-07-01,False
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,False
The Secret of Monkey Island: Special Edition,2009-07-15,False
Warfare,2008-11-20,False
Clutch,2009-06-02,False
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,False
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,False
3D Ultra™ Minigolf Adventures,2006-12-20,False
King's Quest™ Collection,2006-09-01,False
TimeShift™,2007-10-30,False
Space Quest™ Collection,2006-09-01,False
Killing Floor Outbreak Character Pack,2009-07-24,False
Aces of the Galaxy™,2008-06-04,False
Tropico Reloaded,2009-07-24,False
Mystery P.I. - Lost in Los Angeles,2009-07-27,False
Bionic Commando: Rearmed,2008-08-14,False
Bionic Commando,2009-07-28,False
Watchmen: The End is Nigh Part 2,2009-07-29,False
Foreign Legion: Buckets of Blood,2009-08-04,False
STAR WARS™ - Knights of the Old Republic™,2003-11-19,False
Osmos,2009-08-18,False
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,False
Fallout Tactics: Brotherhood of Steel,2001-03-01,False
Kingpin — Life of Crime,1999-06-01,False
Sacrifice,2000-11-01,False
Mini Ninjas Demo,2009-08-19,False
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,False
Jewel Quest Pack,2009-08-24,False
Mahjong Quest Collection,2009-08-24,False
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,False
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,False
Crash Time 2,2009-08-27,False
XIII Century – Gold Edition,2009-08-28,False
World of Zoo,2009-10-30,False
18 Wheels of Steel: Extreme Trucker,2009-09-23,False
Mini Ninjas,2009-09-08,False
Freeze Tag Fun Pack #2,2009-09-23,False
Freeze Tag Fun Pack #1,1999-11-30,False
Windosill,2009-05-26,False
Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,False
Midnight Mysteries,2009-09-28,False
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,False
Joint Operations: Combined Arms Gold,2009-08-18,False
Train Simulator: US Loco &amp; Asset Pack,2009-10-01,False
DinerTown Tycoon,2009-09-30,False
Train Simulator: European Loco &amp; Asset Pack,2009-10-01,False
Risen,2009-10-30,False
Flora's Fruit Farm,2009-10-01,False
Empire: Total War™ - The Warpath Campaign,2009-10-05,False
Machinarium,2009-10-16,False
Medal of Honor: Airborne,2007-09-04,False
Need for Speed: Shift,2009-09-15,False
Torchlight,2009-10-27,False
Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,False
The Stronghold Collection,2009-10-27,False
East India Company: Privateer,2009-10-27,False
Painkiller: Resurrection,2009-10-27,False
SpellForce 2 - Anniversary Edition,2009-10-29,False
Secret Files: Tunguska,2009-10-29,False
Rush for Berlin Gold,2009-10-29,False
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,False
Men of War: Red Tide,2009-11-01,False
Hammerfight,2009-09-19,False
SpellForce - Platinum Edition,2009-11-03,False
Massive Assault: Phantom Renaissance,2005-03-03,False
Massive Assault,2003-10-28,False
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,False
Serious Sam HD: The First Encounter,2009-11-24,False
Secret Files 2: Puritas Cordis,2009-10-29,False
Dragon Age: Origins,2009-11-06,False
Aztaka,2009-05-07,False
Magnetis,2009-11-05,False
For The Glory: A Europa Universalis Game,2009-11-11,False
Call of Duty®: Modern Warfare® 2,2009-11-12,False
LEGO® Star Wars™ - The Complete Saga,2009-11-12,False
Overlord™,2007-06-26,False
Overlord™: Raising Hell,2008-02-15,False
Command &amp; Conquer 3: Tiberium Wars,2007-03-28,False
Yumsters 2: Around the World,2008-07-23,False
Command &amp; Conquer 3: Kane's Wrath,2009-11-13,False
Gratuitous Space Battles,2009-11-16,False
Wings of Prey,2009-12-25,False
The Bard's Tale,2005-06-17,False
Defence Alliance 2,2009-10-22,False
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,False
Europa Universalis III: Heir to the Throne,2009-12-15,False
Fallout 3: Game of the Year Edition,2009-10-13,False
Gratuitous Space Battles: The Tribe,2009-12-16,False
Build-A-Lot,2007-10-02,False
Build-A-Lot 2: Town of the Year,2008-04-29,False
Build-A-Lot 3: Passport to Europe,2009-01-24,False
Coconut Queen,2009-12-17,False
Roogoo,2009-12-17,False
Devil May Cry 4,2008-07-08,False
Avencast: Rise of the Mage,2010-03-17,False
Build-A-Lot 4: Power Source,2009-08-12,False
"Pirates, Vikings, and Knights II",2010-02-12,False
Farm Frenzy 2,2008-08-27,False
Farm Frenzy 3: American Pie,2010-01-06,False
Farm Frenzy 3,2009-09-11,False
Farm Frenzy,2007-12-07,False
Farm Frenzy: Pizza Party,2009-02-18,False
Cake Mania Main Street™,2010-02-16,False
Westward® IV: All Aboard,2010-02-16,False
Iron Roses,2010-02-16,False
UFO: Extraterrestrials Gold,2010-02-17,False
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,False
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,False
Super Laser  Racer,2010-02-18,False
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,False
NecroVisioN: Lost Company,2010-02-19,False
Cradle of Persia,2007-12-01,False
Aliens vs. Predator Swarm Map Pack,2010-03-18,False
Serious Sam Classic: The First Encounter,2001-03-21,False
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,False
Mount &amp; Blade: Warband,2010-03-31,False
Coniclysm,2010-03-26,False
Plain Sight,2010-04-05,False
Lead and Gold: Gangs of the Wild West,2010-04-08,False
Grand Theft Auto: Episodes from Liberty City,2010-04-12,False
Dark Void™ Zero,2010-04-12,False
Fortix,2010-04-14,False
Beat Hazard,2010-04-15,False
Sam &amp; Max: The Devil’s Playhouse,2010-04-15,False
M.U.D. TV,2010-04-19,False
Wings of Luftwaffe Add-on,2010-04-19,False
The Misadventures of P.B. Winterbottom,2010-04-20,False
AquaNox 2: Revelation,2003-08-19,False
AquaNox,2001-11-30,False
Fluttabyes,2010-04-20,False
Hidden Expedition: Titanic,2006-07-19,False
Hidden Expedition: Amazon,2008-06-19,False
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,False
Fitness Dash™,2008-12-31,False
Gemini Lost™,2009-09-24,False
DinerTown Detective Agency™,2009-07-27,False
Mahjong Roadshow™,2007-10-19,False
Hotel Dash™ Suite Success™,2009-12-24,False
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,False
The Nightshift Code™,2008-02-11,False
TriJinx: A Kristine Kross Mystery™,2007-12-31,False
Valerie Porter and the Scarlet Scandal™,2009-12-21,False
Biozone,2010-05-07,False
Iron Grip: Warlord,2008-12-05,False
Rocket Knight,2010-05-11,False
Max and the Magic Marker,2010-05-12,False
Flight of the Icarus,2010-05-12,False
Puzzler World,2010-05-28,False
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,False
Ziro,2010-05-28,False
Altered Beast™,2010-06-01,False
Comix Zone™,2010-06-01,False
SEGA Mega Drive and Genesis Classics,2010-06-01,False
Golden Axe™,2010-06-01,False
Ecco the Dolphin™,2010-06-01,False
Gain Ground™,2010-06-01,False
Shinobi™ III: Return of the Ninja Master,2010-06-01,False
Crack Down™,2010-06-01,False
VectorMan™,2010-06-01,False
Sonic 3D Blast™,2010-06-01,False
Shadow Dancer™,2010-06-01,False
Space Harrier™ II,2010-06-01,False
Alpha Protocol™,2010-06-01,False
Alien Breed: Impact,2010-06-03,False
Fallout 3 - Point Lookout,2010-07-16,False
Defense Grid: Resurgence Map Pack 1,2010-06-02,False
Fallout 3 - Mothership Zeta,2010-07-16,False
Fallout 3 - Broken Steel,2010-07-16,False
Fallout 3 - The Pitt,2010-07-16,False
Alien Swarm,2010-07-19,False
Fallout 3 - Operation Anchorage,2010-07-16,False
SimCity™ 4 Deluxe Edition,2003-09-22,False
Disciples III - Renaissance Steam Special Edition,2010-07-16,False
Tidalis,2010-07-16,False
Razor2: Hidden Skies,2010-07-19,False
The Settlers 7: Uncharted Land Map Pack,2010-07-21,False
Dimensity,2008-12-08,False
Kane &amp; Lynch 2: Dog Days,2010-08-17,False
The Guild II Renaissance,2010-07-28,False
Hearts of Iron III DLC: German II Spritepack,2010-07-26,False
Trainz Simulator DLC: Blue Comet,2010-08-06,False
Fantasy Wars,2010-08-06,False
Mafia II,2011-03-22,False
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,False
Puzzle Quest 2,2010-08-12,False
Burn Zombie Burn!,2010-08-12,False
Madballs B*D*I Clan Skins,2010-08-16,False
Madballs Scorched Evolution Skin Rollup,2010-08-16,False
Madballs BDI Evolution Skin Rollup,2010-08-16,False
Madballs Holiday Skin Rollup,2010-08-16,False
Victoria I Complete,2010-08-20,False
Ship Simulator Extremes,2010-08-27,False
Worms Reloaded,2010-08-26,False
Making History II: The War of the World,2010-06-22,False
Arma 2: British Armed Forces,2010-08-27,False
Victoria II,2010-08-30,False
Booster Trooper Demo,2010-08-31,False
Madballs Scorched Clan Skins,2010-08-16,False
Kane &amp; Lynch 2: The Doggie Bag,2010-08-31,False
Kane &amp; Lynch 2: Multiplayer Masks Pack,2010-08-31,False
Trainz: Classic Cabon City,2010-09-01,False
Kane &amp; Lynch 2: Alliance Weapon Pack,2010-08-31,False
Cossacks: Back to War,2002-11-01,False
Broken Sword: Director's Cut,2010-09-02,False
Chime,2010-09-06,False
Mafia II DLC: Jimmy's Vendetta,2010-09-06,False
Sniper: Ghost Warrior - Map Pack,2010-09-08,False
VVVVVV,2010-09-07,False
The Settlers 7: Conquest - The Empire Expansion DLC,2010-09-08,False
Amnesia: The Dark Descent,2010-09-08,False
Recettear: An Item Shop's Tale,2010-09-10,False
Swarm Arena,2010-08-19,False
Super Thunder Blade™,2010-09-13,False
Galaxy Force II™,2010-09-13,False
Hacker Evolution,2010-09-14,False
Hacker Evolution: Untold,2010-09-14,False
Faerie Solitaire,2010-09-17,False
Patrician IV - Steam Special Edition,2010-09-17,False
Bonanza Bros.™,2010-09-13,False
King's Bounty: Crossworlds,2010-09-17,False
Train Simulator: Green &amp; Gold HST DMU Add-On,2010-09-17,False
Sid Meier's Civilization® V,2010-09-21,False
Commander: Conquest of the Americas - Colonial Navy,2010-09-21,False
Serious Sam Classic: The Second Encounter,2002-02-05,False
Star Ruler,2010-09-20,False
Blade Kitten,2010-09-22,False
Alien Breed 2: Assault,2010-09-22,False
Serious Sam HD: Gold Edition,2010-09-23,False
Darksiders™,2010-09-23,False
X: Beyond the Frontier,1999-07-01,False
The Kings' Crusade,2010-10-08,False
Guild Wars: Eye of the North®,2007-08-31,False
X: Tension,2000-06-01,False
Age of Wonders II: The Wizard's Throne,Oct 2010,False
Governor of Poker 2,2010-10-11,False
Governor of Poker 2 - Premium Edition,2010-10-11,False
Age of Wonders Shadow Magic,Oct 2010,False
Age of Wonders,Oct 2010,False
Medal of Honor™,2010-10-12,False
Grotesque Tactics: Evil Heroes,2010-10-15,False
Lost Planet® 2,2010-10-15,False
Doc Clock: The Toasted Sandwich of Time,2010-10-15,False
Fallout: New Vegas,2010-10-19,False
The Polynomial - Space of the music,2010-10-15,False
Puzzle Bots,2010-10-22,False
Nimbus,2010-10-25,False
Civilization V - Babylon (Nebuchadnezzar II),2010-10-25,False
DeathSpank,2010-10-25,False
Virtua Fighter™ 2,2010-10-26,False
Columns™ III,2010-10-26,False
Sword of Vermilion™,2010-10-26,False
Golden Axe™ II,2010-10-26,False
Sonic The Hedgehog,2010-10-26,False
Flicky™,2010-10-26,False
ESWAT™: City Under Siege,2010-10-26,False
Ecco™: The Tides of Time,2010-10-26,False
Decap Attack™,2010-10-26,False
Bio-Hazard Battle™,2010-10-26,False
Alien Storm,2010-10-26,False
Shank,2010-10-25,False
The Ball,2010-10-26,False
STAR WARS™: The Force Unleashed™ II,2010-10-26,False
Flight Control HD,2010-11-18,False
Patrician III,2010-11-18,False
BIT.TRIP BEAT,2010-11-02,False
Theatre of War 2 - Battle for Caen,2010-11-02,False
Woody Two-Legs: Attack of the Zombie Pirates,2010-11-02,False
Clones,2010-11-18,False
Victoria II: Interwar Spritepack,2010-11-02,False
Front Mission Evolved: Wanzer Pack 2,2010-11-02,False
Pound of Ground,2010-11-05,False
Pat &amp; Mat,2009-10-01,False
Alternativa,2010-11-03,False
Fish Fillets 2,2007-04-05,False
Archon Classic,2010-11-02,False
Call of Duty®: Black Ops,2010-11-09,False
Rhythm Zone Tornado Visualizer DLC,2010-11-09,False
Arcadia,2010-12-02,False
Oddworld: Munch's Oddysee,2010-12-20,False
Rhythm Zone DJ Table Visualizer DLC,2010-11-09,False
Oddworld: Stranger's Wrath HD,2010-12-20,False
Clickr,2010-12-23,False
Back to the Future: The Game,2010-12-23,False
Grand Theft Auto III,2002-05-21,False
Grand Theft Auto: San Andreas,2005-06-06,False
Lara Croft GoL: Raziel and Kain Character Pack,2011-01-07,False
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,2011-01-07,False
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,2011-01-07,False
Lara Croft GoL: All the Trappings - Challenge Pack 1,2011-01-07,False
Grand Theft Auto: Vice City,2003-05-13,False
Zeit²,2011-01-12,False
A.R.E.S.: Extinction Agenda,2011-01-20,False
APOX,2011-01-20,False
Dead Space™ 2,2011-01-25,False
Drawn®: The Painted Tower,2011-01-19,False
Kaptain Brawe: A Brawe New World,2011-01-20,False
Wonder Boy III: Monster Lair,2011-01-26,False
Monday Night Combat,2011-01-24,False
Luxor: 5th Passage,2011-01-25,False
Alien Soldier,2011-01-26,False
Shining in the Darkness,2011-01-26,False
Light Crusader,2011-01-26,False
Landstalker: The Treasures of King Nole,2011-01-26,False
Gunstar Heroes,2011-01-26,False
ToeJam &amp; Earl,2011-01-26,False
Streets of Rage 2,2011-01-26,False
Sonic The Hedgehog 2,2011-01-26,False
Streets of Rage,2011-01-26,False
Sonic 3 &amp;  Knuckles,2011-01-26,False
Shining Force II,2011-01-26,False
Shining Force,2011-01-26,False
The Sims™ 3,2009-06-02,False
Ship Simulator Extremes: Sigita Pack,2011-01-26,False
The Sims™ 3 Fast Lane Stuff,2010-09-07,False
The Sims™ 3 World Adventures,2009-11-17,False
The Sims™ 3 Late Night,2010-10-26,False
The Sims™ 3 Ambitions,2010-06-02,False
The Sims™ 3 High-End Loft Stuff,2010-02-02,False
Trino,2011-01-27,False
Mishap 2: An Intentional Haunting - Collector's Edition,2011-01-28,False
The Sims™ 3 Outdoor Living Stuff,2011-02-01,False
Who's That Flying?!,2011-01-31,False
Myst: Masterpiece Edition,2011-02-02,False
Guardians of Graxia: Elves &amp; Dwarves,2011-02-01,False
Two Worlds II HD,2011-02-03,False
YOU DON’T KNOW JACK®,2011-02-08,False
Test Drive Unlimited 2,Feb 2011,False
King Arthur: The Druids,2011-02-03,False
Gratuitous Space Battles: Galactic Conquest,2011-02-11,False
The Kings' Crusade: New Allies,2011-02-09,False
DUNGEONS - Steam Special Edition,2011-02-10,False
AI War: Light of the Spire,2011-02-14,False
Drakensang: The River of Time,2011-01-11,False
RISK™: Factions,2011-03-08,False
Crazy Machines 2: Time Travel Add-On,2011-03-11,False
BIT.TRIP RUNNER,2011-02-28,False
Homefront,2011-03-14,False
Fate of the World,2011-02-28,False
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),2011-02-28,False
"Warhammer 40,000: Dawn of War II - Retribution - Tyranid Race Pack",2011-02-28,False
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",2011-02-28,False
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",2011-02-28,False
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",2011-02-28,False
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",2011-02-28,False
RIFT,2013-10-24,False
"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,False
Dinner Date,2011-03-01,False
