title,release_date,genres
Sam &amp; Max 102: Situation: Comedy,2006-12-20,"['Action', 'Adventure']"
Ultimate Doom,1995-04-30,['Action']
Master Levels for Doom II,1995-06-01,['Action']
DOOM II,1994-05-05,['Action']
Wolfenstein 3D,1994-08-03,['Action']
Return to Castle Wolfenstein,2001-11-20,['Action']
QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,['Action']
Spear of Destiny,1993-10-10,['Action']
BloodRayne,2003-09-09,['Action']
QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,['Action']
QUAKE,2007-05-31,['Action']
Genesis Rising,2007-03-20,['Strategy']
"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,['Strategy']
BioShock™,2007-08-21,"['Action', 'RPG']"
"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,['Strategy']
"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,['Strategy']
Rome: Total War™ - Collection,2004-09-22,['Strategy']
Rome: Total War™ - Alexander,2006-06-26,['Strategy']
Mystery Case Files: Madame Fate®,2007-12-14,['Casual']
Grand Theft Auto,1998-06-30,['Action']
Grand Theft Auto 2,1999-10-25,['Action']
Manhunt,2004-04-20,['Action']
Midnight Club 2,2003-07-01,['Racing']
Max Payne 2: The Fall of Max Payne,2003-10-14,['Action']
Tomb Raider: Legend,2006-04-07,"['Action', 'Adventure']"
Max Payne,2001-07-25,['Action']
Command &amp; Conquer: Red Alert 3,2008-10-28,['Strategy']
PuzzleQuest: Challenge of the Warlords,2007-10-10,['Casual']
Culpa Innata,2007-10-23,"['RPG', 'Casual', 'Adventure']"
Prison Tycoon 3™: Lockdown,2007-08-01,['Strategy']
Hunting Unlimited™ 2008,2007-09-01,"['Action', 'Adventure', 'Strategy']"
18 Wheels of Steel: American Long Haul,2007-12-03,['Racing']
Conflict: Denied Ops,2008-02-08,['Action']
ARMA: Combat Operations,2007-05-08,['Action']
Tycoon City: New York,2006-02-21,['Simulation']
Desperados 2: Cooper's Revenge,2006-05-02,['Action']
Death to Spies,2007-10-16,"['Action', 'Adventure']"
Act of War: High Treason,2006-05-30,['Action']
RollerCoaster Tycoon® 3: Platinum,2006-10-26,"['Simulation', 'Strategy']"
Act of War: Direct Action,2005-03-14,['Action']
Unreal 2: The Awakening,2003-02-03,['Action']
Unreal Gold,1998-04-30,['Action']
Ninja Reflex: Steamworks Edition,2008-03-21,"['Casual', 'Indie']"
Tom Clancy's Splinter Cell®,2003-02-18,['Action']
Far Cry®,2004-03-23,['Action']
Unreal Tournament: Game of the Year Edition,2000-10-25,['Action']
Tom Clancy's Rainbow Six® Vegas,2006-12-12,['Action']
Silent Hunter® III,2005-03-15,['Simulation']
Virtual Villagers - The Secret City,2008-05-28,"['Casual', 'Simulation']"
Mystery P.I.™ - The Vegas Heist,2008-06-04,['Casual']
Luxor,2008-06-10,['Casual']
Reaxxion,2008-06-10,['Casual']
Little Farm,2008-06-10,['Casual']
7 Wonders II,2008-06-10,['Casual']
Luxor Amun Rising,2005-12-08,['Casual']
Luxor 3,2007-11-13,['Casual']
Petz® Horsez® 2,2007-11-13,['Simulation']
Luxor 2,2005-12-08,['Casual']
Rayman Raving Rabbids™,2007-03-27,"['Action', 'Adventure']"
Silent Hunter®: Wolves of the Pacific,2007-03-20,['Simulation']
IL-2 Sturmovik: 1946,2006-12-15,['Simulation']
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,['Simulation']
Bone: Out From Boneville,2005-09-15,['Adventure']
Midnight Outlaw: 6 Hours to SunUp,2005-07-02,['Racing']
Bone: The Great Cow Race,2006-04-12,['Adventure']
Sprint Cars Road to Knoxville,2008-07-29,['Racing']
Dr. Daisy Pet Vet,2008-01-08,nan
Ride! Carnival Tycoon,2007-07-02,['Simulation']
Hot Dish,2008-01-12,nan
Mahjongg Investigations: Under Suspicion,2007-08-08,['Casual']
Dracula Origin,2008-05-20,['Adventure']
Beijing 2008™ - The Official Video Game of the Olympic Games,2008-07-08,['Sports']
Sherlock Holmes - Nemesis,2008-04-14,"['Adventure', 'RPG']"
Eternity's Child,2008-07-31,"['Adventure', 'Indie']"
Pacific Storm Allies,2007-05-25,"['Simulation', 'Strategy']"
Tank Universal,2008-08-21,"['Action', 'Indie']"
FlatOut: Ultimate Carnage,2008-08-19,['Racing']
Oddworld: Abe's Exoddus®,1998-11-17,['Adventure']
Oddworld: Abe's Oddysee®,1997-12-12,['Adventure']
GTR Evolution Expansion Pack for RACE 07,2008-09-01,['Racing']
X-COM: Enforcer,2001-04-19,['Strategy']
X-COM: Apocalypse,1997-07-15,['Strategy']
X-COM: UFO Defense,1993-12-31,['Strategy']
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,"['Action', 'RPG']"
Crysis Warhead®,2008-09-17,['Action']
Crysis,2007-11-13,['Action']
X-COM: Interceptor,1998-06-15,['Strategy']
The Witcher: Enhanced Edition Director's Cut,2008-09-16,"['Action', 'RPG']"
Multiwinia,2008-09-19,['Indie']
STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,['Racing']
Children of the Nile: Alexandria,2008-08-28,"['Strategy', 'Simulation']"
Sid Meier's Civilization IV: Colonization,2008-09-23,['Strategy']
Tom Clancy's Rainbow Six® 3 Gold,2003-03-18,['Action']
LEGO Batman,2008-09-29,"['Action', 'Adventure']"
City Life 2008,2008-07-18,"['Simulation', 'Strategy']"
Hinterland,2008-09-30,"['RPG', 'Strategy']"
Brothers in Arms: Hell's Highway™,2008-10-08,['Action']
Gravitron 2,2008-08-31,"['Indie', 'Casual']"
Xpand Rally Xtreme,2006-12-01,['Racing']
Heroes of Might &amp; Magic V: Hammers of Fate,2006-11-14,['Strategy']
Brothers in Arms: Earned in Blood™,2005-10-04,['Action']
Heroes of Might &amp; Magic V: Tribes of the East,2007-10-16,['Strategy']
The Settlers®: Rise Of An Empire Gold Edition,2008-04-18,['Strategy']
Brain Spa,2007-09-25,['Casual']
The Sum of All Fears,2002-05-31,['Action']
Peggle™ Nights,2008-10-15,['Casual']
World of Goo,2008-10-13,['Indie']
X3: Terran Conflict,2008-10-16,"['Action', 'Simulation', 'Strategy']"
Mare Nostrum,2008-10-17,['Action']
Spectraball,2008-10-20,"['Casual', 'Indie']"
Galactic Bowling,2008-10-21,"['Indie', 'Casual', 'Sports']"
Bully: Scholarship Edition,2008-10-21,"['Action', 'Adventure']"
Far Cry® 2: Fortune's Edition,2008-10-22,['Action']
Space Trader: Merchant Marine,2008-10-23,"['Action', 'Indie', 'Strategy']"
PRR Wagon Pack 01,2009-01-01,['Simulation']
"Class 421 London South East ""Jaffa Cake""",2009-01-01,['Simulation']
ATSF Wagon Pack 01,2009-01-01,['Simulation']
GP20 Union Pacific Add-on Livery,2009-01-01,['Simulation']
UK Van Wagon Pack,2009-01-01,['Simulation']
CSX SD70MAC Add-on Livery,2009-01-01,['Simulation']
CSX ES44AC Add-on Livery,2009-01-01,['Simulation']
Saints Row 2,2009-01-28,['Action']
Dead Space,2008-10-20,['Action']
Rise of the Argonauts,2008-12-16,['RPG']
Mirror's Edge™,2009-01-13,"['Action', 'Adventure']"
Defense Grid: The Awakening,2008-12-08,"['Indie', 'Strategy']"
F.E.A.R. 2: Project Origin,2009-02-12,['Action']
Harvest: Massive Encounter,2008-03-05,"['Strategy', 'Indie']"
Mayhem Intergalactic,2007-07-04,"['Indie', 'Strategy']"
Larva Mortus,2009-03-19,"['Action', 'Indie']"
Knights of Honor,2005-05-10,['Strategy']
Ceville,2009-02-27,"['Action', 'Adventure', 'Strategy']"
Empire: Total War™ - Special Forces Units &amp; Bonus Content,2009-03-04,['Strategy']
Watchmen: The End is Nigh,2009-03-04,['Action']
Penumbra Overture,2007-03-30,"['Action', 'Adventure', 'Indie']"
Unreal Tournament 3 Black,2007-11-19,['Action']
Drakensang,2009-02-27,['RPG']
Age of Booty™,2009-03-09,"['Casual', 'Strategy']"
The Graveyard,2008-03-21,"['Indie', 'Simulation']"
Burnout Paradise: The Ultimate Box,2009-02-03,['Racing']
Zombie Master,2009-03-11,['Action']
The Maw,2009-03-09,"['Action', 'Indie']"
The Maw: River Redirect,2009-03-16,"['Action', 'Indie']"
The Maw: Brute Force,2009-03-16,"['Action', 'Indie']"
Obulis,2009-03-19,"['Casual', 'Indie']"
Space Giraffe,2009-03-19,['Indie']
Codename: Panzers - Cold War,2009-03-10,"['Simulation', 'Strategy']"
Escape Rosecliff Island,2009-04-15,['Casual']
Guild Wars Nightfall®,2006-10-27,"['RPG', 'Massively Multiplayer']"
Guild Wars® Game of the Year Edition,2005-04-28,"['RPG', 'Massively Multiplayer']"
Guild Wars Factions®,2006-04-28,"['RPG', 'Massively Multiplayer']"
Guild Wars Trilogy,2008-09-25,"['Massively Multiplayer', 'RPG']"
Puzzle Kingdoms,2009-04-16,['Casual']
Samantha Swift and the Golden Touch,2009-04-29,['Casual']
Two Worlds Epic Edition,2009-04-30,['RPG']
Helldorado,2009-04-30,['Strategy']
X-Blades,2009-02-10,"['Action', 'Adventure', 'RPG']"
Zeno Clash,2009-04-21,"['Action', 'Indie']"
The Maw: Speeder Lane,2009-04-29,['Indie']
King's Bounty: The Legend,2008-09-23,"['RPG', 'Strategy']"
Virtual Families,2009-05-06,"['Casual', 'Simulation']"
Death Track®: Resurrection,2009-05-06,['Racing']
Freedom Force vs. the Third Reich,2005-03-08,"['RPG', 'Strategy']"
Freedom Force,2002-03-26,"['RPG', 'Strategy']"
Light of Altair,2009-06-04,"['Indie', 'Simulation', 'Strategy']"
Darkest Hour: Europe '44-'45,2009-06-09,"['Action', 'Simulation']"
Prototype™,2009-06-10,"['Action', 'Adventure']"
Blueberry Garden,Jun 2009,"['Adventure', 'Indie']"
Port Royale 2,2004-04-30,['Strategy']
Call of Cthulhu®: Dark Corners of the Earth,2006-04-26,nan
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,['RPG']
The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,['RPG']
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,2009-06-16,nan
Ankh 2: Heart of Osiris,2007-05-18,['Adventure']
Armored Fist 3,1999-09-01,['Simulation']
MiG-29 Fulcrum,1998-09-07,['Simulation']
BC Kings,2008-09-15,['Strategy']
Call of Juarez®: Bound in Blood,2009-06-30,['Action']
Nancy Drew®: Legend of the Crystal Skull,2007-10-01,['Adventure']
Nancy Drew®: The Creature of Kapu Cave,2006-10-01,['Adventure']
Nancy Drew®: The Phantom of Venice,2008-07-01,['Adventure']
Nancy Drew®: The White Wolf of Icicle Creek,2007-07-01,['Adventure']
BRAINPIPE: A Plunge to Unhumanity,2008-12-24,"['Casual', 'Indie']"
Hunting Unlimited 2010,2009-07-07,"['Simulation', 'Sports']"
Tales of Monkey Island Complete Pack,2009-07-07,['Adventure']
Street Fighter® IV,2009-07-07,['Action']
Thrillville®: Off the Rails™,2007-10-09,"['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']"
Indiana Jones® and the Fate of Atlantis™,1992-06-01,['Adventure']
Armed and Dangerous®,2003-12-02,['Action']
"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,['Action']
Indiana Jones® and the Last Crusade™,1989-07-01,['Adventure']
LEGO® Indiana Jones™: The Original Adventures,2008-06-03,"['Action', 'Adventure']"
The Secret of Monkey Island: Special Edition,2009-07-15,['Adventure']
Warfare,2008-11-20,['Strategy']
Clutch,2009-06-02,"['Action', 'Racing']"
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,['Adventure']
Nancy Drew®: Ransom of the Seven Ships Demo,2009-07-21,['Adventure']
3D Ultra™ Minigolf Adventures,2006-12-20,['Sports']
King's Quest™ Collection,2006-09-01,['Adventure']
TimeShift™,2007-10-30,['Action']
Space Quest™ Collection,2006-09-01,['Adventure']
Killing Floor Outbreak Character Pack,2009-07-24,['Action']
Aces of the Galaxy™,2008-06-04,"['Action', 'Casual']"
Tropico Reloaded,2009-07-24,"['Simulation', 'Strategy']"
Mystery P.I. - Lost in Los Angeles,2009-07-27,['Casual']
Bionic Commando: Rearmed,2008-08-14,['Action']
Bionic Commando,2009-07-28,"['Action', 'Adventure']"
Watchmen: The End is Nigh Part 2,2009-07-29,['Action']
Foreign Legion: Buckets of Blood,2009-08-04,"['Action', 'Indie']"
STAR WARS™ - Knights of the Old Republic™,2003-11-19,"['Adventure', 'RPG']"
Osmos,2009-08-18,"['Indie', 'Casual']"
Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,['RPG']
Fallout Tactics: Brotherhood of Steel,2001-03-01,['Strategy']
Kingpin — Life of Crime,1999-06-01,['Action']
Sacrifice,2000-11-01,nan
Mini Ninjas Demo,2009-08-19,"['Action', 'Adventure']"
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,2009-08-20,['Adventure']
Jewel Quest Pack,2009-08-24,['Casual']
Mahjong Quest Collection,2009-08-24,['Casual']
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,"['Adventure', 'Indie']"
Tom Clancy's Splinter Cell Chaos Theory®,2005-03-29,['Action']
Crash Time 2,2009-08-27,"['Action', 'Racing']"
XIII Century – Gold Edition,2009-08-28,['Strategy']
World of Zoo,2009-10-30,['Simulation']
18 Wheels of Steel: Extreme Trucker,2009-09-23,['Simulation']
Mini Ninjas,2009-09-08,"['Action', 'Adventure']"
Freeze Tag Fun Pack #2,2009-09-23,['Casual']
Freeze Tag Fun Pack #1,1999-11-30,['Casual']
Windosill,2009-05-26,"['Adventure', 'Casual', 'Indie']"
Train Simulator: Colton &amp; Northern Route Add-On,2009-09-25,['Simulation']
Midnight Mysteries,2009-09-28,"['Adventure', 'Casual']"
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,2009-09-07,['Adventure']
Joint Operations: Combined Arms Gold,2009-08-18,['Action']
Train Simulator: US Loco &amp; Asset Pack,2009-10-01,['Simulation']
DinerTown Tycoon,2009-09-30,['Simulation']
Train Simulator: European Loco &amp; Asset Pack,2009-10-01,['Simulation']
Risen,2009-10-30,['RPG']
Flora's Fruit Farm,2009-10-01,['Casual']
Empire: Total War™ - The Warpath Campaign,2009-10-05,['Strategy']
Machinarium,2009-10-16,"['Adventure', 'Indie']"
Medal of Honor: Airborne,2007-09-04,['Action']
Need for Speed: Shift,2009-09-15,['Racing']
Torchlight,2009-10-27,['RPG']
Command &amp; Conquer: Red Alert 3 - Uprising,2009-03-12,['Strategy']
The Stronghold Collection,2009-10-27,['Strategy']
East India Company: Privateer,2009-10-27,['Strategy']
Painkiller: Resurrection,2009-10-27,['Action']
SpellForce 2 - Anniversary Edition,2009-10-29,"['RPG', 'Strategy']"
Secret Files: Tunguska,2009-10-29,['Adventure']
Rush for Berlin Gold,2009-10-29,['Strategy']
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009-10-07,['Adventure']
Men of War: Red Tide,2009-11-01,['Strategy']
Hammerfight,2009-09-19,"['Action', 'Indie']"
SpellForce - Platinum Edition,2009-11-03,"['Action', 'RPG']"
Massive Assault: Phantom Renaissance,2005-03-03,['Strategy']
Massive Assault,2003-10-28,['Strategy']
Nancy Drew® Dossier: Resorting to Danger!,2009-11-19,nan
Serious Sam HD: The First Encounter,2009-11-24,"['Action', 'Indie']"
Secret Files 2: Puritas Cordis,2009-10-29,['Adventure']
Dragon Age: Origins,2009-11-06,['RPG']
Aztaka,2009-05-07,"['Action', 'RPG', 'Indie']"
Magnetis,2009-11-05,"['Indie', 'Casual']"
For The Glory: A Europa Universalis Game,2009-11-11,['Strategy']
Call of Duty®: Modern Warfare® 2,2009-11-12,['Action']
LEGO® Star Wars™ - The Complete Saga,2009-11-12,['Adventure']
Overlord™,2007-06-26,['RPG']
Overlord™: Raising Hell,2008-02-15,['RPG']
Command &amp; Conquer 3: Tiberium Wars,2007-03-28,['Strategy']
Yumsters 2: Around the World,2008-07-23,"['Indie', 'Casual']"
Command &amp; Conquer 3: Kane's Wrath,2009-11-13,['Strategy']
Gratuitous Space Battles,2009-11-16,"['Indie', 'Simulation', 'Strategy']"
Wings of Prey,2009-12-25,['Simulation']
The Bard's Tale,2005-06-17,"['Action', 'Adventure', 'RPG']"
Defence Alliance 2,2009-10-22,['Action']
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,['Action']
Europa Universalis III: Heir to the Throne,2009-12-15,nan
Fallout 3: Game of the Year Edition,2009-10-13,['RPG']
Gratuitous Space Battles: The Tribe,2009-12-16,"['Strategy', 'Indie', 'Simulation']"
Build-A-Lot,2007-10-02,['Simulation']
Build-A-Lot 2: Town of the Year,2008-04-29,['Simulation']
Build-A-Lot 3: Passport to Europe,2009-01-24,['Simulation']
Coconut Queen,2009-12-17,"['Casual', 'Simulation']"
Roogoo,2009-12-17,['Casual']
Devil May Cry 4,2008-07-08,"['Action', 'Adventure']"
Avencast: Rise of the Mage,2010-03-17,"['Action', 'Indie', 'RPG']"
Build-A-Lot 4: Power Source,2009-08-12,['Simulation']
"Pirates, Vikings, and Knights II",2010-02-12,"['Action', 'Free to Play', 'Indie']"
Farm Frenzy 2,2008-08-27,['Casual']
Farm Frenzy 3: American Pie,2010-01-06,['Casual']
Farm Frenzy 3,2009-09-11,['Casual']
Farm Frenzy,2007-12-07,['Casual']
Farm Frenzy: Pizza Party,2009-02-18,['Casual']
Cake Mania Main Street™,2010-02-16,['Casual']
Westward® IV: All Aboard,2010-02-16,"['Strategy', 'Casual']"
Iron Roses,2010-02-16,"['Adventure', 'Casual']"
UFO: Extraterrestrials Gold,2010-02-17,['Strategy']
LEGO® Indiana Jones™ 2: The Adventure Continues,2010-02-18,['Adventure']
Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,2010-02-18,['Sports']
Super Laser  Racer,2010-02-18,"['Action', 'Indie', 'Racing']"
Hearts of Iron III: Soviet Infantry Pack DLC,2010-02-18,['Strategy']
NecroVisioN: Lost Company,2010-02-19,['Action']
Cradle of Persia,2007-12-01,['Casual']
Aliens vs. Predator Swarm Map Pack,2010-03-18,['Action']
Serious Sam Classic: The First Encounter,2001-03-21,"['Action', 'Indie']"
Train Simulator: Fort Kent to Eagle Lake Route Add-On,2010-03-19,['Simulation']
Mount &amp; Blade: Warband,2010-03-31,"['Action', 'RPG']"
Coniclysm,2010-03-26,['Action']
Plain Sight,2010-04-05,"['Action', 'Indie']"
Lead and Gold: Gangs of the Wild West,2010-04-08,['Action']
Grand Theft Auto: Episodes from Liberty City,2010-04-12,['Action']
Dark Void™ Zero,2010-04-12,"['Action', 'Adventure']"
Fortix,2010-04-14,['Indie']
Beat Hazard,2010-04-15,"['Action', 'Casual', 'Indie']"
Sam &amp; Max: The Devil’s Playhouse,2010-04-15,['Adventure']
M.U.D. TV,2010-04-19,"['Simulation', 'Strategy']"
Wings of Luftwaffe Add-on,2010-04-19,['Simulation']
The Misadventures of P.B. Winterbottom,2010-04-20,"['Adventure', 'Indie']"
AquaNox 2: Revelation,2003-08-19,['Action']
AquaNox,2001-11-30,['Action']
Fluttabyes,2010-04-20,"['Casual', 'Indie']"
Hidden Expedition: Titanic,2006-07-19,['Casual']
Hidden Expedition: Amazon,2008-06-19,"['Casual', 'Indie']"
Napoleon: Total War™ - Coalition Battle Pack,2010-05-05,['Strategy']
Fitness Dash™,2008-12-31,['Casual']
Gemini Lost™,2009-09-24,['Casual']
DinerTown Detective Agency™,2009-07-27,['Casual']
Mahjong Roadshow™,2007-10-19,['Casual']
Hotel Dash™ Suite Success™,2009-12-24,['Casual']
Nightshift Legacy: The Jaguar's Eye™,2010-03-19,['Casual']
The Nightshift Code™,2008-02-11,['Casual']
TriJinx: A Kristine Kross Mystery™,2007-12-31,['Casual']
Valerie Porter and the Scarlet Scandal™,2009-12-21,['Casual']
Biozone,2010-05-07,"['Action', 'Adventure', 'Casual']"
Iron Grip: Warlord,2008-12-05,"['Action', 'Indie']"
Rocket Knight,2010-05-11,"['Action', 'Adventure']"
Max and the Magic Marker,2010-05-12,['Indie']
Flight of the Icarus,2010-05-12,"['Action', 'Indie']"
Puzzler World,2010-05-28,['Casual']
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,2010-06-08,"['Action', 'Adventure']"
Ziro,2010-05-28,"['Casual', 'Indie']"
Altered Beast™,2010-06-01,['Action']
Comix Zone™,2010-06-01,['Action']
SEGA Mega Drive and Genesis Classics,2010-06-01,"['Action', 'Adventure', 'Casual', 'RPG']"
Golden Axe™,2010-06-01,['Action']
Ecco the Dolphin™,2010-06-01,['Action']
Gain Ground™,2010-06-01,['Strategy']
Shinobi™ III: Return of the Ninja Master,2010-06-01,['Action']
Crack Down™,2010-06-01,['Action']
VectorMan™,2010-06-01,['Action']
Sonic 3D Blast™,2010-06-01,nan
Shadow Dancer™,2010-06-01,['Action']
Space Harrier™ II,2010-06-01,['Action']
Alpha Protocol™,2010-06-01,"['Action', 'RPG']"
Alien Breed: Impact,2010-06-03,['Action']
Fallout 3 - Point Lookout,2010-07-16,['RPG']
Defense Grid: Resurgence Map Pack 1,2010-06-02,"['Strategy', 'Indie']"
Fallout 3 - Mothership Zeta,2010-07-16,['RPG']
Fallout 3 - Broken Steel,2010-07-16,['RPG']
Fallout 3 - The Pitt,2010-07-16,['RPG']
Alien Swarm,2010-07-19,['Action']
Fallout 3 - Operation Anchorage,2010-07-16,['RPG']
SimCity™ 4 Deluxe Edition,2003-09-22,"['Simulation', 'Strategy']"
Disciples III - Renaissance Steam Special Edition,2010-07-16,"['Strategy', 'RPG']"
Tidalis,2010-07-16,"['Casual', 'Indie']"
Razor2: Hidden Skies,2010-07-19,"['Action', 'Casual', 'Indie']"
The Settlers 7: Uncharted Land Map Pack,2010-07-21,['Strategy']
Dimensity,2008-12-08,['RPG']
Kane &amp; Lynch 2: Dog Days,2010-08-17,['Action']
The Guild II Renaissance,2010-07-28,"['Simulation', 'Strategy']"
Hearts of Iron III DLC: German II Spritepack,2010-07-26,['Strategy']
Trainz Simulator DLC: Blue Comet,2010-08-06,['Simulation']
Fantasy Wars,2010-08-06,['Strategy']
Mafia II,2011-03-22,['Action']
Train Simulator: Network Southeast Class 47 Loco Add-On,2010-08-06,['Simulation']
